id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
BJ-001,20010200001,XOF1146384001,Internal,HQ001,Asset,Cash In Till,XOF,7086,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BJ,OU-BJ-TSY,200102,COA-11,,Performing,,0,,28342,26925,FLEXCUBE-IF,SYSTEM,ACTIVE,
BJ-002,20010300001,XOF9312711002,Internal,HQ001,Asset,Cash In Transit,XOF,1697,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BJ,OU-BJ-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BJ-003,20010400001,XOF8553182003,Internal,HQ001,Asset,Cash In Atm,XOF,3030,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BJ,OU-BJ-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BJ-004,20010100001,XOF9993773004,Internal,HQ001,Asset,Cash And Central Bank Balances,XOF,48819,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BJ,OU-BJ-TSY,200101,COA-11,,Performing,,35150,Statutory cash reserve requirement held at BCEAO,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
BJ-005,20030100001,XOF4177173005,Nostro,HQ001,Asset,Due From Banks - Nostro,XOF,29718,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-BJ,OU-BJ-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
BJ-006,20040100001,XOF8220734006,Customer,HQ001,Asset,Placements With Banks,XOF,13963,2026-09-30,2026-09-30,N/A,Fixed,5.62,,0,Inflow,100,,15,Yes,0.17,LE-BJ,OU-BJ-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BJ-007,20050100001,XOF1474336007,Customer,HQ001,Asset,Treasury Bills,XOF,60044,2026-12-15,,N/A,Fixed,8.83,Level 1,0,HQLA,,,5,Yes,0.38,LE-BJ,OU-BJ-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BJ-008,20050200001,XOF2326891008,Customer,HQ001,Asset,Government Bonds,XOF,42519,2031-06-30,,N/A,Fixed,9.14,Level 1,0,HQLA,,,5,Yes,3.87,LE-BJ,OU-BJ-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,15105,Pledged as collateral for BCEAO standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
BJ-009,20050300001,XOF8778486009,Customer,HQ001,Asset,Corporate Bonds,XOF,11599,2029-03-31,,N/A,Fixed,18.16,Level 2A,15,HQLA,,,15,Yes,2.88,LE-BJ,OU-BJ-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
BJ-010,20080200001,XOF9090250010,Internal,HQ001,Asset,Fixed Income Investment Receivable,XOF,5054,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-BJ,OU-BJ-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
BJ-011,20060100001,XOF3118600011,Customer,HQ001,Asset,Loans And Advances - Corporate,XOF,73818,2029-06-30,2026-10-01,N/A,Floating,25.31,,0,,,,85,Yes,0.85,LE-BJ,OU-BJ-CIB,200601,COA-14,CP-CIB-027,Performing,,0,,11073,9965,FLEXCUBE-IF,SYSTEM,ACTIVE,
BJ-012,20060100002,XOF9729298012,Customer,HQ001,Asset,Loans And Advances - Corporate,XOF,5421,2029-06-30,2026-10-01,N/A,Floating,14.84,,0,,,,100,No,2.11,LE-BJ,OU-BJ-CIB,200601,COA-14,CP-CIB-070,Doubtful,3110,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,235 days past due; non-accrual
BJ-013,20060200001,XOF6337687013,Customer,HQ001,Asset,Overdrafts - Corporate,XOF,26639,2027-01-31,2026-08-31,N/A,Floating,17.55,,0,,,,85,Yes,4.61,LE-BJ,OU-BJ-CIB,200602,COA-14,CP-CIB-017,Performing,,0,,7326,6593,FLEXCUBE-IF,SYSTEM,ACTIVE,
BJ-014,20060200002,XOF1275121014,Customer,HQ001,Asset,Overdrafts - Corporate,XOF,2465,2027-01-31,2026-08-31,N/A,Floating,12.72,,0,,,,100,No,1.15,LE-BJ,OU-BJ-CIB,200602,COA-14,CP-CIB-064,Substandard,596,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,151 days past due; non-accrual
BJ-015,20060300001,XOF9497385015,Customer,HQ001,Asset,Loans And Advances - Sme,XOF,34563,2028-09-30,2026-10-01,N/A,Floating,9.57,,0,,,,85,Yes,4.41,LE-BJ,OU-BJ-CIB,200603,COA-14,CP-CIB-024,Performing,,0,,7258,6532,FLEXCUBE-IF,SYSTEM,ACTIVE,
BJ-016,20060300002,XOF9838621016,Customer,HQ001,Asset,Loans And Advances - Sme,XOF,2670,2028-09-30,2026-10-01,N/A,Floating,21.21,,0,,,,100,No,2.33,LE-BJ,OU-BJ-CIB,200603,COA-14,CP-CIB-066,Substandard,664,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,168 days past due; non-accrual
BJ-017,20060400001,XOF8425858017,Customer,HQ001,Asset,Mortgage Loans,XOF,31807,2038-12-31,,N/A,Fixed,15.1,,0,,,,85,Yes,5.27,LE-BJ,OU-BJ-RTL,200604,COA-14,CP-RTL-010,Performing,,0,,954,859,FLEXCUBE-IF,SYSTEM,ACTIVE,
BJ-018,20060500001,XOF8120644018,Customer,HQ001,Asset,Personal Loans - Retail,XOF,34476,2029-07-31,,N/A,Fixed,21.75,,0,,,,85,Yes,5.17,LE-BJ,OU-BJ-RTL,200605,COA-14,CP-RTL-006,Performing,,0,,3103,2793,FLEXCUBE-IF,SYSTEM,ACTIVE,
