id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
BF-001,20010200001,XOF4636764001,Internal,HQ001,Asset,Cash In Till,XOF,5862,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BF,OU-BF-TSY,200102,COA-11,,Performing,,0,,23448,22275,FLEXCUBE-IF,SYSTEM,ACTIVE,
BF-002,20010300001,XOF2287718002,Internal,HQ001,Asset,Cash In Transit,XOF,1928,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BF,OU-BF-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BF-003,20010400001,XOF1584512003,Internal,HQ001,Asset,Cash In Atm,XOF,3501,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BF,OU-BF-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BF-004,20010100001,XOF9139722004,Internal,HQ001,Asset,Cash And Central Bank Balances,XOF,55754,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BF,OU-BF-TSY,200101,COA-11,,Performing,,40143,Statutory cash reserve requirement held at BCEAO,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
BF-005,20030100001,XOF1076578005,Nostro,HQ001,Asset,Due From Banks - Nostro,XOF,26828,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-BF,OU-BF-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
BF-006,20040100001,XOF1885460006,Customer,HQ001,Asset,Placements With Banks,XOF,27236,2026-09-30,2026-09-30,N/A,Fixed,4.37,,0,Inflow,100,,15,Yes,0.17,LE-BF,OU-BF-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BF-007,20050100001,XOF8067234007,Customer,HQ001,Asset,Treasury Bills,XOF,63542,2026-12-15,,N/A,Fixed,12.71,Level 1,0,HQLA,,,5,Yes,0.38,LE-BF,OU-BF-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BF-008,20050200001,XOF2677336008,Customer,HQ001,Asset,Government Bonds,XOF,46176,2031-06-30,,N/A,Fixed,16.61,Level 1,0,HQLA,,,5,Yes,3.58,LE-BF,OU-BF-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,18390,Pledged as collateral for BCEAO standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
BF-009,20050300001,XOF5728750009,Customer,HQ001,Asset,Corporate Bonds,XOF,13427,2029-03-31,,N/A,Fixed,15.94,Level 2A,15,HQLA,,,15,Yes,2.79,LE-BF,OU-BF-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
BF-010,20080200001,XOF6529883010,Internal,HQ001,Asset,Fixed Income Investment Receivable,XOF,3777,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-BF,OU-BF-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
