id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
BI-001,20010200001,BIF6566017001,Internal,HQ001,Asset,Cash In Till,BIF,4400,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BI,OU-BI-TSY,200102,COA-11,,Performing,,0,,17601,16721,FLEXCUBE-IF,SYSTEM,ACTIVE,
BI-002,20010300001,BIF4091438002,Internal,HQ001,Asset,Cash In Transit,BIF,1146,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BI,OU-BI-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BI-003,20010400001,BIF6292186003,Internal,HQ001,Asset,Cash In Atm,BIF,2252,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BI,OU-BI-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BI-004,20010100001,BIF5691677004,Internal,HQ001,Asset,Cash And Central Bank Balances,BIF,27577,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-BI,OU-BI-TSY,200101,COA-11,,Performing,,19855,Statutory cash reserve requirement held at BRB,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
BI-005,20030100001,BIF3758075005,Nostro,HQ001,Asset,Due From Banks - Nostro,BIF,15616,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-BI,OU-BI-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
BI-006,20040100001,BIF3685930006,Customer,HQ001,Asset,Placements With Banks,BIF,9127,2026-09-30,2026-09-30,N/A,Fixed,6.43,,0,Inflow,100,,15,Yes,0.17,LE-BI,OU-BI-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BI-007,20050100001,BIF4358428007,Customer,HQ001,Asset,Treasury Bills,BIF,24265,2026-12-15,,N/A,Fixed,12.37,Level 1,0,HQLA,,,5,Yes,0.38,LE-BI,OU-BI-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
BI-008,20050200001,BIF9428787008,Customer,HQ001,Asset,Government Bonds,BIF,17614,2031-06-30,,N/A,Fixed,15.14,Level 1,0,HQLA,,,5,Yes,4.32,LE-BI,OU-BI-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,4009,Pledged as collateral for BRB standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
BI-009,20050300001,BIF9218695009,Customer,HQ001,Asset,Corporate Bonds,BIF,5160,2029-03-31,,N/A,Fixed,8.68,Level 2A,15,HQLA,,,15,Yes,2.21,LE-BI,OU-BI-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
BI-010,20080200001,BIF7033912010,Internal,HQ001,Asset,Fixed Income Investment Receivable,BIF,1908,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-BI,OU-BI-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
BI-011,20060100001,BIF8376700011,Customer,HQ001,Asset,Loans And Advances - Corporate,BIF,57347,2029-06-30,2026-10-01,N/A,Floating,20.17,,0,,,,85,Yes,4.54,LE-BI,OU-BI-CIB,200601,COA-14,CP-CIB-023,Performing,,0,,8602,7742,FLEXCUBE-IF,SYSTEM,ACTIVE,
BI-012,20060100002,BIF3560491012,Customer,HQ001,Asset,Loans And Advances - Corporate,BIF,3945,2029-06-30,2026-10-01,N/A,Floating,20.07,,0,,,,100,No,0.59,LE-BI,OU-BI-CIB,200601,COA-14,CP-CIB-043,Doubtful,2908,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,194 days past due; non-accrual
BI-013,20060200001,BIF8296271013,Customer,HQ001,Asset,Overdrafts - Corporate,BIF,16385,2027-01-31,2026-08-31,N/A,Floating,14.34,,0,,,,85,Yes,2.4,LE-BI,OU-BI-CIB,200602,COA-14,CP-CIB-037,Performing,,0,,4506,4055,FLEXCUBE-IF,SYSTEM,ACTIVE,
BI-014,20060200002,BIF5396841014,Customer,HQ001,Asset,Overdrafts - Corporate,BIF,1794,2027-01-31,2026-08-31,N/A,Floating,14.42,,0,,,,100,No,1.89,LE-BI,OU-BI-CIB,200602,COA-14,CP-CIB-061,Substandard,282,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,128 days past due; non-accrual
BI-015,20060300001,BIF1011520015,Customer,HQ001,Asset,Loans And Advances - Sme,BIF,16429,2028-09-30,2026-10-01,N/A,Floating,22.13,,0,,,,85,Yes,6.24,LE-BI,OU-BI-CIB,200603,COA-14,CP-CIB-033,Performing,,0,,3450,3105,FLEXCUBE-IF,SYSTEM,ACTIVE,
BI-016,20060300002,BIF9946424016,Customer,HQ001,Asset,Loans And Advances - Sme,BIF,1944,2028-09-30,2026-10-01,N/A,Floating,15.51,,0,,,,100,No,1.95,LE-BI,OU-BI-CIB,200603,COA-14,CP-CIB-046,Substandard,242,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,171 days past due; non-accrual
BI-017,20060400001,BIF3746616017,Customer,HQ001,Asset,Mortgage Loans,BIF,16440,2038-12-31,,N/A,Fixed,16.74,,0,,,,85,Yes,3.21,LE-BI,OU-BI-RTL,200604,COA-14,CP-RTL-020,Performing,,0,,493,444,FLEXCUBE-IF,SYSTEM,ACTIVE,
BI-018,20060500001,BIF6394368018,Customer,HQ001,Asset,Personal Loans - Retail,BIF,15162,2029-07-31,,N/A,Fixed,22.3,,0,,,,85,Yes,4.74,LE-BI,OU-BI-RTL,200605,COA-14,CP-RTL-039,Performing,,0,,1365,1228,FLEXCUBE-IF,SYSTEM,ACTIVE,
