id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
CV-001,20010200001,CVE6157324001,Internal,HQ001,Asset,Cash In Till,CVE,530.51,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CV,OU-CV-TSY,200102,COA-11,,Performing,,0,,2122.02,2015.92,FLEXCUBE-IF,SYSTEM,ACTIVE,
CV-002,20010300001,CVE2793415002,Internal,HQ001,Asset,Cash In Transit,CVE,120.45,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CV,OU-CV-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CV-003,20010400001,CVE1384328003,Internal,HQ001,Asset,Cash In Atm,CVE,266.44,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CV,OU-CV-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CV-004,20010100001,CVE1840130004,Internal,HQ001,Asset,Cash And Central Bank Balances,CVE,3798.49,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CV,OU-CV-TSY,200101,COA-11,,Performing,,2734.91,Statutory cash reserve requirement held at BCV,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
CV-005,20030100001,CVE2286762005,Nostro,HQ001,Asset,Due From Banks - Nostro,CVE,1351.31,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-CV,OU-CV-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
CV-006,20040100001,CVE8938529006,Customer,HQ001,Asset,Placements With Banks,CVE,1342.72,2026-09-30,2026-09-30,N/A,Fixed,8.9,,0,Inflow,100,,15,Yes,0.17,LE-CV,OU-CV-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CV-007,20050100001,CVE5961202007,Customer,HQ001,Asset,Treasury Bills,CVE,2956.07,2026-12-15,,N/A,Fixed,9.77,Level 1,0,HQLA,,,5,Yes,0.38,LE-CV,OU-CV-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CV-008,20050200001,CVE2187944008,Customer,HQ001,Asset,Government Bonds,CVE,2538.79,2031-06-30,,N/A,Fixed,10.97,Level 1,0,HQLA,,,5,Yes,3.7,LE-CV,OU-CV-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,821.42,Pledged as collateral for BCV standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
CV-009,20050300001,CVE4601303009,Customer,HQ001,Asset,Corporate Bonds,CVE,566.2,2029-03-31,,N/A,Fixed,15.47,Level 2A,15,HQLA,,,15,Yes,2.26,LE-CV,OU-CV-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
CV-010,20080200001,CVE4400256010,Internal,HQ001,Asset,Fixed Income Investment Receivable,CVE,293.68,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-CV,OU-CV-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
