id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
CM-001,20010200001,XAF8121872001,Internal,HQ001,Asset,Cash In Till,XAF,13560,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CM,OU-CM-TSY,200102,COA-11,,Performing,,0,,54241,51529,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-002,20010300001,XAF2729296002,Internal,HQ001,Asset,Cash In Transit,XAF,5174,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CM,OU-CM-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-003,20010400001,XAF8600269003,Internal,HQ001,Asset,Cash In Atm,XAF,6245,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CM,OU-CM-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-004,20010100001,XAF6455996004,Internal,HQ001,Asset,Cash And Central Bank Balances,XAF,94707,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CM,OU-CM-TSY,200101,COA-11,,Performing,,68189,Statutory cash reserve requirement held at BEAC / COBAC,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
CM-005,20030100001,XAF6819655005,Nostro,HQ001,Asset,Due From Banks - Nostro,XAF,65394,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-CM,OU-CM-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
CM-006,20040100001,XAF1077860006,Customer,HQ001,Asset,Placements With Banks,XAF,27447,2026-09-30,2026-09-30,N/A,Fixed,10.1,,0,Inflow,100,,15,Yes,0.17,LE-CM,OU-CM-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-007,20050100001,XAF8039958007,Customer,HQ001,Asset,Treasury Bills,XAF,128544,2026-12-15,,N/A,Fixed,8.06,Level 1,0,HQLA,,,5,Yes,0.38,LE-CM,OU-CM-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-008,20050200001,XAF1352943008,Customer,HQ001,Asset,Government Bonds,XAF,92826,2031-06-30,,N/A,Fixed,14.84,Level 1,0,HQLA,,,5,Yes,3.65,LE-CM,OU-CM-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,30171,Pledged as collateral for BEAC / COBAC standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
CM-009,20050300001,XAF4104404009,Customer,HQ001,Asset,Corporate Bonds,XAF,36087,2029-03-31,,N/A,Fixed,17.93,Level 2A,15,HQLA,,,15,Yes,2.91,LE-CM,OU-CM-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
CM-010,20080200001,XAF2204989010,Internal,HQ001,Asset,Fixed Income Investment Receivable,XAF,9895,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-CM,OU-CM-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
CM-011,20060100001,XAF4193791011,Customer,HQ001,Asset,Loans And Advances - Corporate,XAF,208370,2029-06-30,2026-10-01,N/A,Floating,25.34,,0,,,,85,Yes,0.81,LE-CM,OU-CM-CIB,200601,COA-14,CP-CIB-028,Performing,,0,,31255,28130,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-012,20060100002,XAF7789348012,Customer,HQ001,Asset,Loans And Advances - Corporate,XAF,9782,2029-06-30,2026-10-01,N/A,Floating,25.74,,0,,,,100,No,1.31,LE-CM,OU-CM-CIB,200601,COA-14,CP-CIB-042,Substandard,1856,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,162 days past due; non-accrual
CM-013,20060200001,XAF4047130013,Customer,HQ001,Asset,Overdrafts - Corporate,XAF,73097,2027-01-31,2026-08-31,N/A,Floating,9.5,,0,,,,85,Yes,5.87,LE-CM,OU-CM-CIB,200602,COA-14,CP-CIB-039,Performing,,0,,20102,18092,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-014,20060200002,XAF3855683014,Customer,HQ001,Asset,Overdrafts - Corporate,XAF,4449,2027-01-31,2026-08-31,N/A,Floating,25.49,,0,,,,100,No,0.54,LE-CM,OU-CM-CIB,200602,COA-14,CP-CIB-067,Doubtful,2514,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,312 days past due; non-accrual
CM-015,20060300001,XAF8108333015,Customer,HQ001,Asset,Loans And Advances - Sme,XAF,48979,2028-09-30,2026-10-01,N/A,Floating,19.11,,0,,,,85,Yes,5.56,LE-CM,OU-CM-CIB,200603,COA-14,CP-CIB-037,Performing,,0,,10286,9257,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-016,20060300002,XAF4715352016,Customer,HQ001,Asset,Loans And Advances - Sme,XAF,4819,2028-09-30,2026-10-01,N/A,Floating,22.84,,0,,,,100,No,2.9,LE-CM,OU-CM-CIB,200603,COA-14,CP-CIB-061,Doubtful,3556,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,244 days past due; non-accrual
CM-017,20060400001,XAF5807566017,Customer,HQ001,Asset,Mortgage Loans,XAF,60465,2038-12-31,,N/A,Fixed,25.1,,0,,,,85,Yes,4.7,LE-CM,OU-CM-RTL,200604,COA-14,CP-RTL-017,Performing,,0,,1814,1633,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-018,20060500001,XAF2760965018,Customer,HQ001,Asset,Personal Loans - Retail,XAF,75421,2029-07-31,,N/A,Fixed,14.25,,0,,,,85,Yes,0.81,LE-CM,OU-CM-RTL,200605,COA-14,CP-RTL-010,Performing,,0,,6788,6109,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-019,20060500002,XAF7278333019,Customer,HQ001,Asset,Personal Loans - Retail,XAF,3324,2029-07-31,,N/A,Fixed,13.17,,0,,,,100,No,2.8,LE-CM,OU-CM-RTL,200605,COA-14,CP-RTL-052,Doubtful,2040,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,312 days past due; non-accrual
CM-020,20060600001,XAF1811870020,Customer,HQ001,Asset,Staff Loans,XAF,11387,2032-12-31,,N/A,Fixed,15.47,,0,,,,85,Yes,4.77,LE-CM,OU-CM-RTL,200606,COA-14,CP-RTL-031,Performing,,0,,171,154,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-021,20060700001,XAF6847201021,Customer,HQ001,Asset,Agricultural Finance,XAF,24043,2028-03-31,2026-10-01,N/A,Floating,25.91,,0,,,,85,Yes,3.83,LE-CM,OU-CM-CIB,200607,COA-14,CP-CIB-038,Performing,,0,,2645,2380,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-022,20060700002,XAF8494400022,Customer,HQ001,Asset,Agricultural Finance,XAF,3044,2028-03-31,2026-10-01,N/A,Floating,25.82,,0,,,,100,No,1.12,LE-CM,OU-CM-CIB,200607,COA-14,CP-CIB-055,Doubtful,1790,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,242 days past due; non-accrual
CM-023,20060800001,XAF3418821023,Customer,HQ001,Asset,Trade Finance - Import,XAF,62909,2027-04-30,2026-10-31,N/A,Floating,25.97,,0,,,,85,Yes,4.57,LE-CM,OU-CM-CIB,200608,COA-14,CP-CIB-025,Performing,,0,,19187,17269,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-024,20060800002,XAF8732540024,Customer,HQ001,Asset,Trade Finance - Import,XAF,1828,2027-04-30,2026-10-31,N/A,Floating,10.94,,0,,,,100,No,2.35,LE-CM,OU-CM-CIB,200608,COA-14,CP-CIB-053,Substandard,427,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,164 days past due; non-accrual
CM-025,20060900001,XAF9746645025,Customer,HQ001,Asset,Asset Finance - Leases,XAF,35404,2030-09-30,,N/A,Fixed,17.25,,0,,,,85,Yes,5.03,LE-CM,OU-CM-CIB,200609,COA-14,CP-CIB-036,Performing,,0,,2124,1912,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-026,20060900002,XAF9836586026,Customer,HQ001,Asset,Asset Finance - Leases,XAF,884,2030-09-30,,N/A,Fixed,24.73,,0,,,,100,No,0.9,LE-CM,OU-CM-CIB,200609,COA-14,CP-CIB-068,Substandard,124,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,171 days past due; non-accrual
CM-027,10010100001,XAF3131151027,Internal,HQ001,Asset,Fixed And Other Assets,XAF,15207,,,N/A,N/A,,,0,,,,100,No,,LE-CM,OU-CM-TSY,100101,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Net of accumulated depreciation of 11,432 XAF"
CM-028,10120100001,XAF5761020028,Internal,HQ001,Asset,Fixed Assets Accounts,XAF,9557,,,N/A,N/A,,,0,,,,100,No,,LE-CM,OU-CM-TSY,101201,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Prepayments and sundry receivables
CM-029,40010200001,XAF3888843029,Customer,HQ001,Liability,Current,XAF,220645,,,Core,Fixed,5.06,,0,Outflow,5,90,,No,1.51,LE-CM,OU-CM-RTL,400102,COA-22,,Performing,,0,,286838,269628,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-030,40010500001,XAF7438722030,Customer,HQ001,Liability,Current - Corporate,XAF,164746,,,Operational,Fixed,3.46,,0,Outflow,25,50,,Yes,1.69,LE-CM,OU-CM-CIB,400105,COA-22,,Performing,,0,,313017,294236,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-031,40010100001,XAF9497806031,Customer,HQ001,Liability,Savings,XAF,170633,,,Core,Fixed,2.74,,0,Outflow,5,95,,No,2.37,LE-CM,OU-CM-RTL,400101,COA-22,,Performing,,0,,71666,67366,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-032,40010300001,XAF8277978032,Customer,HQ001,Liability,Fixed,XAF,125220,2027-01-31,,N/A,Fixed,9.3,,0,Outflow,5,95,,Yes,2.03,LE-CM,OU-CM-RTL,400103,COA-22,,Performing,,0,,5009,4708,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-033,40010600001,XAF5426290033,Customer,HQ001,Liability,Fixed - Corporate,XAF,38406,2026-11-30,2026-11-30,N/A,Fixed,4.57,,0,Outflow,40,50,,Yes,0.24,LE-CM,OU-CM-CIB,400106,COA-22,CP-CIB-001,Performing,,0,,2304,2074,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-034,40010600002,XAF8314333034,Customer,HQ001,Liability,Fixed - Corporate,XAF,33605,2026-11-30,2026-11-30,N/A,Fixed,8.0,,0,Outflow,40,50,,Yes,0.76,LE-CM,OU-CM-CIB,400106,COA-22,CP-CIB-002,Performing,,0,,2016,1815,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-035,40010600003,XAF8982470035,Customer,HQ001,Liability,Fixed - Corporate,XAF,30404,2026-11-30,2026-11-30,N/A,Fixed,4.17,,0,Outflow,40,50,,Yes,0.32,LE-CM,OU-CM-CIB,400106,COA-22,CP-CIB-003,Performing,,0,,1824,1642,FLEXCUBE-IF,SYSTEM,ACTIVE,
CM-036,40010600004,XAF8528925036,Customer,HQ001,Liability,Fixed - Corporate,XAF,22403,2026-11-30,2026-11-30,N/A,Fixed,15.65,,0,Outflow,40,50,,Yes,0.2,LE-CM,OU-CM-CIB,400106,COA-22,CP-CIB-004,Performing,,0,,1344,1210,FLEXCUBE-IF,SYSTEM,ACTIVE,
