id,accountNumber,accountClass,branchCode,category,productClass,currency,amount,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,notes,counterpartyId,originationDate,maturityDate,nextRepricingDate,rateType,interestRatePct,rateIndexCode,spreadOverIndexBps,amortizationType,paymentFrequencyMonths,performingStatus,daysPastDue,provisionAmount,lienAmount,lienReason
CM-LN-001,20060100001,Customer,HQ001,Asset,Loans And Advances - Corporate,XAF,208370,LE-CM,OU-CM-CIB,200601,,,CP-CIB-028,,2029-06-30,2026-10-01,Floating,25.34,TIAO,,,,Performing,,,,
CM-LN-002,20060100002,Customer,HQ001,Asset,Loans And Advances - Corporate,XAF,9782,LE-CM,OU-CM-CIB,200601,,"162 days past due; non-accrual",CP-CIB-042,,2029-06-30,2026-10-01,Floating,25.74,TIAO,,,,Substandard,162,1856,,
CM-LN-003,20060200001,Customer,HQ001,Asset,Overdrafts - Corporate,XAF,73097,LE-CM,OU-CM-CIB,200602,,,CP-CIB-039,,2027-01-31,2026-08-31,Floating,9.5,TIAO,,,,Performing,,,,
CM-LN-004,20060200002,Customer,HQ001,Asset,Overdrafts - Corporate,XAF,4449,LE-CM,OU-CM-CIB,200602,,"312 days past due; non-accrual",CP-CIB-067,,2027-01-31,2026-08-31,Floating,25.49,TIAO,,,,Doubtful,312,2514,,
CM-LN-005,20060300001,Customer,HQ001,Asset,Loans And Advances - Sme,XAF,48979,LE-CM,OU-CM-CIB,200603,,,CP-CIB-037,,2028-09-30,2026-10-01,Floating,19.11,TIAO,,,,Performing,,,,
CM-LN-006,20060300002,Customer,HQ001,Asset,Loans And Advances - Sme,XAF,4819,LE-CM,OU-CM-CIB,200603,,"244 days past due; non-accrual",CP-CIB-061,,2028-09-30,2026-10-01,Floating,22.84,TIAO,,,,Doubtful,244,3556,,
CM-LN-007,20060400001,Customer,HQ001,Asset,Mortgage Loans,XAF,60465,LE-CM,OU-CM-RTL,200604,,,CP-RTL-017,,2038-12-31,,Fixed,25.1,,,,,Performing,,,,
CM-LN-008,20060500001,Customer,HQ001,Asset,Personal Loans - Retail,XAF,75421,LE-CM,OU-CM-RTL,200605,,,CP-RTL-010,,2029-07-31,,Fixed,14.25,,,,,Performing,,,,
CM-LN-009,20060500002,Customer,HQ001,Asset,Personal Loans - Retail,XAF,3324,LE-CM,OU-CM-RTL,200605,,"312 days past due; non-accrual",CP-RTL-052,,2029-07-31,,Fixed,13.17,,,,,Doubtful,312,2040,,
CM-LN-010,20060600001,Customer,HQ001,Asset,Staff Loans,XAF,11387,LE-CM,OU-CM-RTL,200606,,,CP-RTL-031,,2032-12-31,,Fixed,15.47,,,,,Performing,,,,
CM-LN-011,20060700001,Customer,HQ001,Asset,Agricultural Finance,XAF,24043,LE-CM,OU-CM-CIB,200607,,,CP-CIB-038,,2028-03-31,2026-10-01,Floating,25.91,TIAO,,,,Performing,,,,
CM-LN-012,20060700002,Customer,HQ001,Asset,Agricultural Finance,XAF,3044,LE-CM,OU-CM-CIB,200607,,"242 days past due; non-accrual",CP-CIB-055,,2028-03-31,2026-10-01,Floating,25.82,TIAO,,,,Doubtful,242,1790,,
CM-LN-013,20060800001,Customer,HQ001,Asset,Trade Finance - Import,XAF,62909,LE-CM,OU-CM-CIB,200608,,,CP-CIB-025,,2027-04-30,2026-10-31,Floating,25.97,TIAO,,,,Performing,,,,
CM-LN-014,20060800002,Customer,HQ001,Asset,Trade Finance - Import,XAF,1828,LE-CM,OU-CM-CIB,200608,,"164 days past due; non-accrual",CP-CIB-053,,2027-04-30,2026-10-31,Floating,10.94,TIAO,,,,Substandard,164,427,,
CM-LN-015,20060900001,Customer,HQ001,Asset,Asset Finance - Leases,XAF,35404,LE-CM,OU-CM-CIB,200609,,,CP-CIB-036,,2030-09-30,,Fixed,17.25,,,,,Performing,,,,
CM-LN-016,20060900002,Customer,HQ001,Asset,Asset Finance - Leases,XAF,884,LE-CM,OU-CM-CIB,200609,,"171 days past due; non-accrual",CP-CIB-068,,2030-09-30,,Fixed,24.73,,,,,Substandard,171,124,,
