id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
CG-001,20010200001,XAF9994610001,Internal,HQ001,Asset,Cash In Till,XAF,3739,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CG,OU-CG-TSY,200102,COA-11,,Performing,,0,,14956,14208,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-002,20010300001,XAF8253382002,Internal,HQ001,Asset,Cash In Transit,XAF,1352,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CG,OU-CG-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-003,20010400001,XAF7768166003,Internal,HQ001,Asset,Cash In Atm,XAF,1546,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CG,OU-CG-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-004,20010100001,XAF8129048004,Internal,HQ001,Asset,Cash And Central Bank Balances,XAF,29515,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CG,OU-CG-TSY,200101,COA-11,,Performing,,21251,Statutory cash reserve requirement held at BEAC / COBAC,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
CG-005,20030100001,XAF3881317005,Nostro,HQ001,Asset,Due From Banks - Nostro,XAF,13103,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-CG,OU-CG-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
CG-006,20040100001,XAF9743152006,Customer,HQ001,Asset,Placements With Banks,XAF,11937,2026-09-30,2026-09-30,N/A,Fixed,6.57,,0,Inflow,100,,15,Yes,0.17,LE-CG,OU-CG-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-007,20050100001,XAF5821544007,Customer,HQ001,Asset,Treasury Bills,XAF,29415,2026-12-15,,N/A,Fixed,16.32,Level 1,0,HQLA,,,5,Yes,0.38,LE-CG,OU-CG-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-008,20050200001,XAF7983221008,Customer,HQ001,Asset,Government Bonds,XAF,28378,2031-06-30,,N/A,Fixed,13.57,Level 1,0,HQLA,,,5,Yes,3.78,LE-CG,OU-CG-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,10792,Pledged as collateral for BEAC / COBAC standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
CG-009,20050300001,XAF5380783009,Customer,HQ001,Asset,Corporate Bonds,XAF,6596,2029-03-31,,N/A,Fixed,13.92,Level 2A,15,HQLA,,,15,Yes,3.09,LE-CG,OU-CG-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
CG-010,20080200001,XAF1511393010,Internal,HQ001,Asset,Fixed Income Investment Receivable,XAF,3274,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-CG,OU-CG-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
CG-011,20060100001,XAF8379124011,Customer,HQ001,Asset,Loans And Advances - Corporate,XAF,67198,2029-06-30,2026-10-01,N/A,Floating,25.89,,0,,,,85,Yes,1.48,LE-CG,OU-CG-CIB,200601,COA-14,CP-CIB-031,Performing,,0,,10080,9072,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-012,20060100002,XAF6398280012,Customer,HQ001,Asset,Loans And Advances - Corporate,XAF,8824,2029-06-30,2026-10-01,N/A,Floating,24.58,,0,,,,100,No,2.06,LE-CG,OU-CG-CIB,200601,COA-14,CP-CIB-065,Doubtful,6484,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,336 days past due; non-accrual
CG-013,20060200001,XAF4611763013,Customer,HQ001,Asset,Overdrafts - Corporate,XAF,13027,2027-01-31,2026-08-31,N/A,Floating,11.09,,0,,,,85,Yes,2.91,LE-CG,OU-CG-CIB,200602,COA-14,CP-CIB-012,Performing,,0,,3582,3224,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-014,20060200002,XAF2073445014,Customer,HQ001,Asset,Overdrafts - Corporate,XAF,4014,2027-01-31,2026-08-31,N/A,Floating,19.96,,0,,,,100,No,1.07,LE-CG,OU-CG-CIB,200602,COA-14,CP-CIB-042,Doubtful,2772,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,267 days past due; non-accrual
CG-015,20060300001,XAF9610275015,Customer,HQ001,Asset,Loans And Advances - Sme,XAF,11202,2028-09-30,2026-10-01,N/A,Floating,16.45,,0,,,,85,Yes,6.44,LE-CG,OU-CG-CIB,200603,COA-14,CP-CIB-012,Performing,,0,,2352,2117,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-016,20060300002,XAF2325960016,Customer,HQ001,Asset,Loans And Advances - Sme,XAF,4347,2028-09-30,2026-10-01,N/A,Floating,17.2,,0,,,,100,No,0.51,LE-CG,OU-CG-CIB,200603,COA-14,CP-CIB-065,Loss,4002,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,842 days past due; non-accrual
CG-017,20060400001,XAF3447288017,Customer,HQ001,Asset,Mortgage Loans,XAF,13113,2038-12-31,,N/A,Fixed,10.92,,0,,,,85,Yes,3.12,LE-CG,OU-CG-RTL,200604,COA-14,CP-RTL-022,Performing,,0,,393,354,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-018,20060500001,XAF2154250018,Customer,HQ001,Asset,Personal Loans - Retail,XAF,11146,2029-07-31,,N/A,Fixed,25.24,,0,,,,85,Yes,3.52,LE-CG,OU-CG-RTL,200605,COA-14,CP-RTL-027,Performing,,0,,1003,903,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-019,20060500002,XAF1151220019,Customer,HQ001,Asset,Personal Loans - Retail,XAF,2998,2029-07-31,,N/A,Fixed,17.57,,0,,,,100,No,2.84,LE-CG,OU-CG-RTL,200605,COA-14,CP-RTL-057,Substandard,655,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,168 days past due; non-accrual
CG-020,20060600001,XAF3768313020,Customer,HQ001,Asset,Staff Loans,XAF,3177,2032-12-31,,N/A,Fixed,16.41,,0,,,,85,Yes,4.12,LE-CG,OU-CG-RTL,200606,COA-14,CP-RTL-036,Performing,,0,,48,43,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-021,20060700001,XAF6128796021,Customer,HQ001,Asset,Agricultural Finance,XAF,9218,2028-03-31,2026-10-01,N/A,Floating,22.76,,0,,,,85,Yes,5.92,LE-CG,OU-CG-CIB,200607,COA-14,CP-CIB-006,Performing,,0,,1014,913,FLEXCUBE-IF,SYSTEM,ACTIVE,
CG-022,20060700002,XAF3447358022,Customer,HQ001,Asset,Agricultural Finance,XAF,2746,2028-03-31,2026-10-01,N/A,Floating,21.93,,0,,,,100,No,1.67,LE-CG,OU-CG-CIB,200607,COA-14,CP-CIB-066,Doubtful,2017,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,331 days past due; non-accrual
