id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
CI-001,20010200001,XOF3428471001,Internal,HQ001,Asset,Cash In Till,XOF,30399,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CI,OU-CI-TSY,200102,COA-11,,Performing,,0,,121596,115516,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-002,20010300001,XOF4918604002,Internal,HQ001,Asset,Cash In Transit,XOF,11035,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CI,OU-CI-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-003,20010400001,XOF1244356003,Internal,HQ001,Asset,Cash In Atm,XOF,12965,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CI,OU-CI-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-004,20010100001,XOF3928532004,Internal,HQ001,Asset,Cash And Central Bank Balances,XOF,232018,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CI,OU-CI-TSY,200101,COA-11,,Performing,,167053,Statutory cash reserve requirement held at BCEAO,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
CI-005,20030100001,XOF4104347005,Nostro,HQ001,Asset,Due From Banks - Nostro,XOF,114350,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-CI,OU-CI-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
CI-006,20040100001,XOF9380667006,Customer,HQ001,Asset,Placements With Banks,XOF,99960,2026-09-30,2026-09-30,N/A,Fixed,5.14,,0,Inflow,100,,15,Yes,0.17,LE-CI,OU-CI-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-007,20050100001,XOF9321112007,Customer,HQ001,Asset,Treasury Bills,XOF,296817,2026-12-15,,N/A,Fixed,11.34,Level 1,0,HQLA,,,5,Yes,0.38,LE-CI,OU-CI-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-008,20050200001,XOF8371658008,Customer,HQ001,Asset,Government Bonds,XOF,233128,2031-06-30,,N/A,Fixed,9.05,Level 1,0,HQLA,,,5,Yes,4.36,LE-CI,OU-CI-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,62745,Pledged as collateral for BCEAO standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
CI-009,20050300001,XOF1363506009,Customer,HQ001,Asset,Corporate Bonds,XOF,62358,2029-03-31,,N/A,Fixed,16.45,Level 2A,15,HQLA,,,15,Yes,3.09,LE-CI,OU-CI-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
CI-010,20080200001,XOF5560310010,Internal,HQ001,Asset,Fixed Income Investment Receivable,XOF,29320,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-CI,OU-CI-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
CI-011,20060100001,XOF4378018011,Customer,HQ001,Asset,Loans And Advances - Corporate,XOF,370866,2029-06-30,2026-10-01,N/A,Floating,24.93,,0,,,,85,Yes,1.69,LE-CI,OU-CI-CIB,200601,COA-14,CP-CIB-027,Performing,,0,,55630,50067,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-012,20060100002,XOF6946310012,Customer,HQ001,Asset,Loans And Advances - Corporate,XOF,18054,2029-06-30,2026-10-01,N/A,Floating,12.65,,0,,,,100,No,2.06,LE-CI,OU-CI-CIB,200601,COA-14,CP-CIB-045,Substandard,3702,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,130 days past due; non-accrual
CI-013,20060200001,XOF9899173013,Customer,HQ001,Asset,Overdrafts - Corporate,XOF,188089,2027-01-31,2026-08-31,N/A,Floating,15.7,,0,,,,85,Yes,5.35,LE-CI,OU-CI-CIB,200602,COA-14,CP-CIB-019,Performing,,0,,51725,46552,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-014,20060200002,XOF1305715014,Customer,HQ001,Asset,Overdrafts - Corporate,XOF,8211,2027-01-31,2026-08-31,N/A,Floating,12.08,,0,,,,100,No,2.32,LE-CI,OU-CI-CIB,200602,COA-14,CP-CIB-070,Doubtful,5910,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,336 days past due; non-accrual
CI-015,20060300001,XOF8630191015,Customer,HQ001,Asset,Loans And Advances - Sme,XOF,137402,2028-09-30,2026-10-01,N/A,Floating,15.58,,0,,,,85,Yes,1.71,LE-CI,OU-CI-CIB,200603,COA-14,CP-CIB-030,Performing,,0,,28854,25969,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-016,20060300002,XOF9409876016,Customer,HQ001,Asset,Loans And Advances - Sme,XOF,8895,2028-09-30,2026-10-01,N/A,Floating,19.24,,0,,,,100,No,1.78,LE-CI,OU-CI-CIB,200603,COA-14,CP-CIB-058,Substandard,1791,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,141 days past due; non-accrual
CI-017,20060400001,XOF8289113017,Customer,HQ001,Asset,Mortgage Loans,XOF,110931,2038-12-31,,N/A,Fixed,22.21,,0,,,,85,Yes,2.84,LE-CI,OU-CI-RTL,200604,COA-14,CP-RTL-032,Performing,,0,,3328,2995,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-018,20060500001,XOF7229905018,Customer,HQ001,Asset,Personal Loans - Retail,XOF,180561,2029-07-31,,N/A,Fixed,10.11,,0,,,,85,Yes,1.44,LE-CI,OU-CI-RTL,200605,COA-14,CP-RTL-015,Performing,,0,,16250,14625,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-019,20060500002,XOF7771587019,Customer,HQ001,Asset,Personal Loans - Retail,XOF,6134,2029-07-31,,N/A,Fixed,22.48,,0,,,,100,No,0.57,LE-CI,OU-CI-RTL,200605,COA-14,CP-RTL-058,Loss,5772,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,875 days past due; non-accrual
CI-020,20060600001,XOF8996200020,Customer,HQ001,Asset,Staff Loans,XOF,26681,2032-12-31,,N/A,Fixed,18.85,,0,,,,85,Yes,2.5,LE-CI,OU-CI-RTL,200606,COA-14,CP-RTL-013,Performing,,0,,400,360,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-021,20060700001,XOF2852200021,Customer,HQ001,Asset,Agricultural Finance,XOF,81741,2028-03-31,2026-10-01,N/A,Floating,16.42,,0,,,,85,Yes,5.88,LE-CI,OU-CI-CIB,200607,COA-14,CP-CIB-026,Performing,,0,,8992,8092,FLEXCUBE-IF,SYSTEM,ACTIVE,
CI-022,20060700002,XOF8590522022,Customer,HQ001,Asset,Agricultural Finance,XOF,5618,2028-03-31,2026-10-01,N/A,Floating,14.85,,0,,,,100,No,1.18,LE-CI,OU-CI-CIB,200607,COA-14,CP-CIB-058,Doubtful,3851,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,211 days past due; non-accrual
