id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
GH-001,20010200001,GHS4116166001,Internal,HQ001,Asset,Cash In Till,GHS,281.5,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GH,OU-GH-TSY,200102,COA-11,,Performing,,0,,1126.02,1069.72,FLEXCUBE-IF,SYSTEM,ACTIVE,
GH-002,20010300001,GHS8627157002,Internal,HQ001,Asset,Cash In Transit,GHS,85.9,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GH,OU-GH-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GH-003,20010400001,GHS5539807003,Internal,HQ001,Asset,Cash In Atm,GHS,140.12,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GH,OU-GH-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GH-004,20010100001,GHS2908760004,Internal,HQ001,Asset,Cash And Central Bank Balances,GHS,2171.62,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GH,OU-GH-TSY,200101,COA-11,,Performing,,1563.57,Statutory cash reserve requirement held at BoG,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
GH-005,20030100001,GHS1438121005,Nostro,HQ001,Asset,Due From Banks - Nostro,GHS,861.82,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-GH,OU-GH-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
GH-006,20040100001,GHS4551063006,Customer,HQ001,Asset,Placements With Banks,GHS,981.16,2026-09-30,2026-09-30,N/A,Fixed,8.31,,0,Inflow,100,,15,Yes,0.17,LE-GH,OU-GH-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GH-007,20050100001,GHS3768492007,Customer,HQ001,Asset,Treasury Bills,GHS,2272.01,2026-12-15,,N/A,Fixed,8.94,Level 1,0,HQLA,,,5,Yes,0.38,LE-GH,OU-GH-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GH-008,20050200001,GHS4517155008,Customer,HQ001,Asset,Government Bonds,GHS,2457.26,2031-06-30,,N/A,Fixed,14.63,Level 1,0,HQLA,,,5,Yes,4.22,LE-GH,OU-GH-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,795.37,Pledged as collateral for BoG standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
GH-009,20050300001,GHS9057060009,Customer,HQ001,Asset,Corporate Bonds,GHS,756.41,2029-03-31,,N/A,Fixed,13.88,Level 2A,15,HQLA,,,15,Yes,2.29,LE-GH,OU-GH-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
GH-010,20080200001,GHS6628550010,Internal,HQ001,Asset,Fixed Income Investment Receivable,GHS,193.12,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-GH,OU-GH-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
