id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
GW-001,20010200001,XOF5243476001,Internal,HQ001,Asset,Cash In Till,XOF,951,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GW,OU-GW-TSY,200102,COA-11,,Performing,,0,,3804,3614,FLEXCUBE-IF,SYSTEM,ACTIVE,
GW-002,20010300001,XOF9029515002,Internal,HQ001,Asset,Cash In Transit,XOF,495,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GW,OU-GW-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GW-003,20010400001,XOF5389408003,Internal,HQ001,Asset,Cash In Atm,XOF,634,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GW,OU-GW-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GW-004,20010100001,XOF3731348004,Internal,HQ001,Asset,Cash And Central Bank Balances,XOF,8632,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GW,OU-GW-TSY,200101,COA-11,,Performing,,6215,Statutory cash reserve requirement held at BCEAO,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
GW-005,20030100001,XOF7237905005,Nostro,HQ001,Asset,Due From Banks - Nostro,XOF,4043,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-GW,OU-GW-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
GW-006,20040100001,XOF1188773006,Customer,HQ001,Asset,Placements With Banks,XOF,2965,2026-09-30,2026-09-30,N/A,Fixed,6.44,,0,Inflow,100,,15,Yes,0.17,LE-GW,OU-GW-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GW-007,20050100001,XOF3941121007,Customer,HQ001,Asset,Treasury Bills,XOF,10124,2026-12-15,,N/A,Fixed,13.36,Level 1,0,HQLA,,,5,Yes,0.38,LE-GW,OU-GW-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GW-008,20050200001,XOF7821808008,Customer,HQ001,Asset,Government Bonds,XOF,7237,2031-06-30,,N/A,Fixed,15.57,Level 1,0,HQLA,,,5,Yes,4.56,LE-GW,OU-GW-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,1424,Pledged as collateral for BCEAO standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
GW-009,20050300001,XOF3621631009,Customer,HQ001,Asset,Corporate Bonds,XOF,1588,2029-03-31,,N/A,Fixed,18.27,Level 2A,15,HQLA,,,15,Yes,3.12,LE-GW,OU-GW-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
GW-010,20080200001,XOF8101532010,Internal,HQ001,Asset,Fixed Income Investment Receivable,XOF,555,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-GW,OU-GW-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
