id,accountNumber,accountClass,branchCode,category,productClass,currency,amount,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,notes,counterpartyId,originationDate,maturityDate,nextRepricingDate,rateType,interestRatePct,rateIndexCode,spreadOverIndexBps,amortizationType,paymentFrequencyMonths,performingStatus,daysPastDue,provisionAmount,lienAmount,lienReason
KE-LN-001,20060100001,Customer,HQ001,Asset,Loans And Advances - Corporate,KES,14036.93,LE-KE,OU-KE-COR,200601,,,CP-CIB-036,,2029-06-30,2026-10-01,Floating,24.59,CBR,,,,Performing,,,,
KE-LN-002,20060100002,Customer,HQ001,Asset,Loans And Advances - Corporate,KES,3316.22,LE-KE,OU-KE-COR,200601,,"166 days past due; non-accrual",CP-CIB-063,,2029-06-30,2026-10-01,Floating,15.74,CBR,,,,Substandard,166,546.43,,
KE-LN-003,20060200001,Customer,HQ001,Asset,Overdrafts - Corporate,KES,4113.93,LE-KE,OU-KE-COR,200602,,,CP-CIB-032,,2027-01-31,2026-08-31,Floating,16.51,CBR,,,,Performing,,,,
KE-LN-004,20060200002,Customer,HQ001,Asset,Overdrafts - Corporate,KES,1508.31,LE-KE,OU-KE-COR,200602,,"444 days past due; non-accrual",CP-CIB-042,,2027-01-31,2026-08-31,Floating,25.69,CBR,,,,Loss,444,1442.32,,
KE-LN-005,20060300001,Customer,HQ001,Asset,Loans And Advances - Sme,KES,4105.25,LE-KE,OU-KE-COR,200603,,,CP-CIB-034,,2028-09-30,2026-10-01,Floating,22.02,CBR,,,,Performing,,,,
KE-LN-006,20060300002,Customer,HQ001,Asset,Loans And Advances - Sme,KES,1633.78,LE-KE,OU-KE-COR,200603,,"122 days past due; non-accrual",CP-CIB-068,,2028-09-30,2026-10-01,Floating,15.87,CBR,,,,Substandard,122,279.58,,
KE-LN-007,20060400001,Customer,HQ001,Asset,Mortgage Loans,KES,7081.76,LE-KE,OU-KE-RET,200604,,,CP-RTL-002,,2038-12-31,,Fixed,12.09,,,,,Performing,,,,
KE-LN-008,20060500001,Customer,HQ001,Asset,Personal Loans - Retail,KES,4478.6,LE-KE,OU-KE-RET,200605,,,CP-RTL-037,,2029-07-31,,Fixed,22.18,,,,,Performing,,,,
KE-LN-009,20060500002,Customer,HQ001,Asset,Personal Loans - Retail,KES,1126.75,LE-KE,OU-KE-RET,200605,,"135 days past due; non-accrual",CP-RTL-053,,2029-07-31,,Fixed,12.22,,,,,Substandard,135,222.78,,
KE-LN-010,20060600001,Customer,HQ001,Asset,Staff Loans,KES,949.55,LE-KE,OU-KE-RET,200606,,,CP-RTL-022,,2032-12-31,,Fixed,15.93,,,,,Performing,,,,
KE-LN-011,20060700001,Customer,HQ001,Asset,Agricultural Finance,KES,2156.31,LE-KE,OU-KE-COR,200607,,,CP-CIB-035,,2028-03-31,2026-10-01,Floating,17.37,CBR,,,,Performing,,,,
KE-LN-012,20060700002,Customer,HQ001,Asset,Agricultural Finance,KES,1032.0,LE-KE,OU-KE-COR,200607,,"295 days past due; non-accrual",CP-CIB-064,,2028-03-31,2026-10-01,Floating,18.87,CBR,,,,Doubtful,295,648.02,,
KE-LN-013,20060800001,Customer,HQ001,Asset,Trade Finance - Import,KES,4192.22,LE-KE,OU-KE-COR,200608,,,CP-CIB-007,,2027-04-30,2026-10-31,Floating,10.74,CBR,,,,Performing,,,,
KE-LN-014,20060800002,Customer,HQ001,Asset,Trade Finance - Import,KES,619.71,LE-KE,OU-KE-COR,200608,,"154 days past due; non-accrual",CP-CIB-046,,2027-04-30,2026-10-31,Floating,24.52,CBR,,,,Substandard,154,76.33,,
KE-LN-015,20060900001,Customer,HQ001,Asset,Asset Finance - Leases,KES,2128.88,LE-KE,OU-KE-COR,200609,,,CP-CIB-011,,2030-09-30,,Fixed,9.75,,,,,Performing,,,,
KE-LN-016,20060900002,Customer,HQ001,Asset,Asset Finance - Leases,KES,299.61,LE-KE,OU-KE-COR,200609,,"167 days past due; non-accrual",CP-CIB-050,,2030-09-30,,Fixed,20.8,,,,,Substandard,167,68.52,,
