id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
MZ-001,20010200001,MZN6888535001,Internal,HQ001,Asset,Cash In Till,MZN,466.17,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-MZ,OU-MZ-TSY,200102,COA-11,,Performing,,0,,1864.69,1771.46,FLEXCUBE-IF,SYSTEM,ACTIVE,
MZ-002,20010300001,MZN9125468002,Internal,HQ001,Asset,Cash In Transit,MZN,132.76,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-MZ,OU-MZ-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
MZ-003,20010400001,MZN7579698003,Internal,HQ001,Asset,Cash In Atm,MZN,249.73,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-MZ,OU-MZ-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
MZ-004,20010100001,MZN7226871004,Internal,HQ001,Asset,Cash And Central Bank Balances,MZN,2957.93,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-MZ,OU-MZ-TSY,200101,COA-11,,Performing,,2129.71,Statutory cash reserve requirement held at BdM,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
MZ-005,20030100001,MZN3776078005,Nostro,HQ001,Asset,Due From Banks - Nostro,MZN,1157.97,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-MZ,OU-MZ-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
MZ-006,20040100001,MZN5171032006,Customer,HQ001,Asset,Placements With Banks,MZN,1400.82,2026-09-30,2026-09-30,N/A,Fixed,7.32,,0,Inflow,100,,15,Yes,0.17,LE-MZ,OU-MZ-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
MZ-007,20050100001,MZN7108395007,Customer,HQ001,Asset,Treasury Bills,MZN,4470.17,2026-12-15,,N/A,Fixed,17.43,Level 1,0,HQLA,,,5,Yes,0.38,LE-MZ,OU-MZ-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
MZ-008,20050200001,MZN4163181008,Customer,HQ001,Asset,Government Bonds,MZN,2369.05,2031-06-30,,N/A,Fixed,16.86,Level 1,0,HQLA,,,5,Yes,4.46,LE-MZ,OU-MZ-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,940.75,Pledged as collateral for BdM standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
MZ-009,20050300001,MZN8666066009,Customer,HQ001,Asset,Corporate Bonds,MZN,1089.16,2029-03-31,,N/A,Fixed,16.78,Level 2A,15,HQLA,,,15,Yes,2.94,LE-MZ,OU-MZ-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
MZ-010,20080200001,MZN6256806010,Internal,HQ001,Asset,Fixed Income Investment Receivable,MZN,198.03,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-MZ,OU-MZ-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
MZ-011,20060100001,MZN7646259011,Customer,HQ001,Asset,Loans And Advances - Corporate,MZN,8274.82,2029-06-30,2026-10-01,N/A,Floating,22.01,,0,,,,85,Yes,6.49,LE-MZ,OU-MZ-CIB,200601,COA-14,CP-CIB-039,Performing,,0,,1241.22,1117.1,FLEXCUBE-IF,SYSTEM,ACTIVE,
