id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
NE-001,20010200001,XOF7585629001,Internal,HQ001,Asset,Cash In Till,XOF,3309,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-NE,OU-NE-TSY,200102,COA-11,,Performing,,0,,13237,12575,FLEXCUBE-IF,SYSTEM,ACTIVE,
NE-002,20010300001,XOF3196690002,Internal,HQ001,Asset,Cash In Transit,XOF,1315,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-NE,OU-NE-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
NE-003,20010400001,XOF8972213003,Internal,HQ001,Asset,Cash In Atm,XOF,1671,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-NE,OU-NE-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
NE-004,20010100001,XOF1362068004,Internal,HQ001,Asset,Cash And Central Bank Balances,XOF,25228,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-NE,OU-NE-TSY,200101,COA-11,,Performing,,18164,Statutory cash reserve requirement held at BCEAO,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
NE-005,20030100001,XOF8287582005,Nostro,HQ001,Asset,Due From Banks - Nostro,XOF,8734,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-NE,OU-NE-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
NE-006,20040100001,XOF4742361006,Customer,HQ001,Asset,Placements With Banks,XOF,13875,2026-09-30,2026-09-30,N/A,Fixed,7.29,,0,Inflow,100,,15,Yes,0.17,LE-NE,OU-NE-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
NE-007,20050100001,XOF1726934007,Customer,HQ001,Asset,Treasury Bills,XOF,27316,2026-12-15,,N/A,Fixed,6.03,Level 1,0,HQLA,,,5,Yes,0.38,LE-NE,OU-NE-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
NE-008,20050200001,XOF4659341008,Customer,HQ001,Asset,Government Bonds,XOF,24675,2031-06-30,,N/A,Fixed,12.18,Level 1,0,HQLA,,,5,Yes,3.95,LE-NE,OU-NE-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,6870,Pledged as collateral for BCEAO standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
NE-009,20050300001,XOF9320627009,Customer,HQ001,Asset,Corporate Bonds,XOF,7181,2029-03-31,,N/A,Fixed,11.12,Level 2A,15,HQLA,,,15,Yes,2.53,LE-NE,OU-NE-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
NE-010,20080200001,XOF6523265010,Internal,HQ001,Asset,Fixed Income Investment Receivable,XOF,2970,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-NE,OU-NE-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
NE-011,20060100001,XOF7834106011,Customer,HQ001,Asset,Loans And Advances - Corporate,XOF,55799,2029-06-30,2026-10-01,N/A,Floating,22.49,,0,,,,85,Yes,1.66,LE-NE,OU-NE-CIB,200601,COA-14,CP-CIB-033,Performing,,0,,8370,7533,FLEXCUBE-IF,SYSTEM,ACTIVE,
NE-012,20060100002,XOF4047904012,Customer,HQ001,Asset,Loans And Advances - Corporate,XOF,4090,2029-06-30,2026-10-01,N/A,Floating,12.53,,0,,,,100,No,2.21,LE-NE,OU-NE-CIB,200601,COA-14,CP-CIB-058,Substandard,1019,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,113 days past due; non-accrual
NE-013,20060200001,XOF2257356013,Customer,HQ001,Asset,Overdrafts - Corporate,XOF,16046,2027-01-31,2026-08-31,N/A,Floating,23.87,,0,,,,85,Yes,4.63,LE-NE,OU-NE-CIB,200602,COA-14,CP-CIB-035,Performing,,0,,4413,3971,FLEXCUBE-IF,SYSTEM,ACTIVE,
