id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
NG-001,20010200001,NGN1265339001,Internal,HQ001,Asset,Cash In Till,NGN,30994.97,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-NG,OU-NG-TSY,200102,COA-11,,Performing,,0,,123979.9,117780.9,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-002,20010300001,NGN5407317002,Internal,HQ001,Asset,Cash In Transit,NGN,11182.1,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-NG,OU-NG-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-003,20010400001,NGN1702079003,Internal,HQ001,Asset,Cash In Atm,NGN,13373.81,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-NG,OU-NG-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-004,20010100001,NGN8692120004,Internal,HQ001,Asset,Cash And Central Bank Balances,NGN,198359.63,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-NG,OU-NG-TSY,200101,COA-11,,Performing,,142818.94,Statutory cash reserve requirement held at CBN,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
NG-005,20030100001,NGN3496321005,Nostro,HQ001,Asset,Due From Banks - Nostro,NGN,100706.11,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-NG,OU-NG-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
NG-006,20040100001,NGN9884829006,Customer,HQ001,Asset,Placements With Banks,NGN,114327.86,2026-09-30,2026-09-30,N/A,Fixed,10.06,,0,Inflow,100,,15,Yes,0.17,LE-NG,OU-NG-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-007,20050100001,NGN3680761007,Customer,HQ001,Asset,Treasury Bills,NGN,265450.45,2026-12-15,,N/A,Fixed,10.12,Level 1,0,HQLA,,,5,Yes,0.38,LE-NG,OU-NG-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-008,20050200001,NGN5004941008,Customer,HQ001,Asset,Government Bonds,NGN,157182.35,2031-06-30,,N/A,Fixed,10.13,Level 1,0,HQLA,,,5,Yes,4.24,LE-NG,OU-NG-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,58107.14,Pledged as collateral for CBN standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
NG-009,20050300001,NGN5696369009,Customer,HQ001,Asset,Corporate Bonds,NGN,61995.12,2029-03-31,,N/A,Fixed,9.59,Level 2A,15,HQLA,,,15,Yes,2.46,LE-NG,OU-NG-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
NG-010,20080200001,NGN5121845010,Internal,HQ001,Asset,Fixed Income Investment Receivable,NGN,15919.75,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-NG,OU-NG-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
NG-011,20060100001,NGN6715355011,Customer,HQ001,Asset,Loans And Advances - Corporate,NGN,543129.58,2029-06-30,2026-10-01,N/A,Floating,24.76,,0,,,,85,Yes,2.21,LE-NG,OU-NG-CIB,200601,COA-14,CP-CIB-038,Performing,,0,,81469.44,73322.49,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-012,20060100002,NGN8299480012,Customer,HQ001,Asset,Loans And Advances - Corporate,NGN,23097.11,2029-06-30,2026-10-01,N/A,Floating,10.35,,0,,,,100,No,2.4,LE-NG,OU-NG-CIB,200601,COA-14,CP-CIB-068,Doubtful,12852.03,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,198 days past due; non-accrual
NG-013,20060200001,NGN9808018013,Customer,HQ001,Asset,Overdrafts - Corporate,NGN,156842.01,2027-01-31,2026-08-31,N/A,Floating,12.55,,0,,,,85,Yes,3.73,LE-NG,OU-NG-CIB,200602,COA-14,CP-CIB-005,Performing,,0,,43131.55,38818.4,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-014,20060200002,NGN3679377014,Customer,HQ001,Asset,Overdrafts - Corporate,NGN,10505.17,2027-01-31,2026-08-31,N/A,Floating,18.7,,0,,,,100,No,0.85,LE-NG,OU-NG-CIB,200602,COA-14,CP-CIB-054,Substandard,2528.33,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,154 days past due; non-accrual
NG-015,20060300001,NGN7115911015,Customer,HQ001,Asset,Loans And Advances - Sme,NGN,145669.44,2028-09-30,2026-10-01,N/A,Floating,11.09,,0,,,,85,Yes,4.72,LE-NG,OU-NG-CIB,200603,COA-14,CP-CIB-026,Performing,,0,,30590.58,27531.52,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-016,20060300002,NGN1520467016,Customer,HQ001,Asset,Loans And Advances - Sme,NGN,11379.12,2028-09-30,2026-10-01,N/A,Floating,11.73,,0,,,,100,No,2.24,LE-NG,OU-NG-CIB,200603,COA-14,CP-CIB-055,Substandard,2108.89,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,176 days past due; non-accrual
NG-017,20060400001,NGN3131028017,Customer,HQ001,Asset,Mortgage Loans,NGN,142021.05,2038-12-31,,N/A,Fixed,15.87,,0,,,,85,Yes,1.34,LE-NG,OU-NG-RTL,200604,COA-14,CP-RTL-016,Performing,,0,,4260.63,3834.57,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-018,20060500001,NGN7286577018,Customer,HQ001,Asset,Personal Loans - Retail,NGN,106396.59,2029-07-31,,N/A,Fixed,15.32,,0,,,,85,Yes,3.36,LE-NG,OU-NG-RTL,200605,COA-14,CP-RTL-008,Performing,,0,,9575.69,8618.12,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-019,20060500002,NGN8744274019,Customer,HQ001,Asset,Personal Loans - Retail,NGN,7847.67,2029-07-31,,N/A,Fixed,16.68,,0,,,,100,No,1.67,LE-NG,OU-NG-RTL,200605,COA-14,CP-RTL-061,Loss,7262.63,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,819 days past due; non-accrual
NG-020,20060600001,NGN4183984020,Customer,HQ001,Asset,Staff Loans,NGN,18786.5,2032-12-31,,N/A,Fixed,14.6,,0,,,,85,Yes,5.05,LE-NG,OU-NG-RTL,200606,COA-14,CP-RTL-018,Performing,,0,,281.8,253.62,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-021,20060700001,NGN1209964021,Customer,HQ001,Asset,Agricultural Finance,NGN,71733.54,2028-03-31,2026-10-01,N/A,Floating,24.21,,0,,,,85,Yes,3.88,LE-NG,OU-NG-CIB,200607,COA-14,CP-CIB-027,Performing,,0,,7890.69,7101.62,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-022,20060700002,NGN6432149022,Customer,HQ001,Asset,Agricultural Finance,NGN,7187.75,2028-03-31,2026-10-01,N/A,Floating,16.88,,0,,,,100,No,2.81,LE-NG,OU-NG-CIB,200607,COA-14,CP-CIB-045,Loss,6959.52,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,517 days past due; non-accrual
NG-023,20060800001,NGN4205632023,Customer,HQ001,Asset,Trade Finance - Import,NGN,109996.62,2027-04-30,2026-10-31,N/A,Floating,9.23,,0,,,,85,Yes,2.53,LE-NG,OU-NG-CIB,200608,COA-14,CP-CIB-002,Performing,,0,,33548.97,30194.07,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-024,20060800002,NGN2595582024,Customer,HQ001,Asset,Trade Finance - Import,NGN,4316.22,2027-04-30,2026-10-31,N/A,Floating,22.91,,0,,,,100,No,1.63,LE-NG,OU-NG-CIB,200608,COA-14,CP-CIB-048,Loss,3984.54,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,681 days past due; non-accrual
NG-025,20060900001,NGN3077746025,Customer,HQ001,Asset,Asset Finance - Leases,NGN,54038.74,2030-09-30,,N/A,Fixed,18.5,,0,,,,85,Yes,5.73,LE-NG,OU-NG-CIB,200609,COA-14,CP-CIB-019,Performing,,0,,3242.32,2918.09,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-026,20060900002,NGN4022495026,Customer,HQ001,Asset,Asset Finance - Leases,NGN,2086.77,2030-09-30,,N/A,Fixed,16.17,,0,,,,100,No,0.79,LE-NG,OU-NG-CIB,200609,COA-14,CP-CIB-058,Loss,1924.12,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,838 days past due; non-accrual
NG-027,10010100001,NGN4193058027,Internal,HQ001,Asset,Fixed And Other Assets,NGN,61181.97,,,N/A,N/A,,,0,,,,100,No,,LE-NG,OU-NG-TSY,100101,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Net of accumulated depreciation of 20,757 NGN"
NG-028,10120100001,NGN4832683028,Internal,HQ001,Asset,Fixed Assets Accounts,NGN,21216.05,,,N/A,N/A,,,0,,,,100,No,,LE-NG,OU-NG-TSY,101201,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Prepayments and sundry receivables
NG-029,40010200001,NGN6858496029,Customer,HQ001,Liability,Current,NGN,448586.53,,,Core,Fixed,7.83,,0,Outflow,5,90,,No,0.59,LE-NG,OU-NG-RTL,400102,COA-22,,Performing,,0,,583162.48,548172.73,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-030,40010500001,NGN3003387030,Customer,HQ001,Liability,Current - Corporate,NGN,357052.03,,,Operational,Fixed,5.28,,0,Outflow,25,50,,Yes,1.46,LE-NG,OU-NG-CIB,400105,COA-22,,Performing,,0,,678398.86,637694.92,FLEXCUBE-IF,SYSTEM,ACTIVE,
NG-031,40010100001,NGN9913266031,Customer,HQ001,Liability,Savings,NGN,385537.6,,,Core,Fixed,3.72,,0,Outflow,5,95,,No,1.28,LE-NG,OU-NG-RTL,400101,COA-22,,Performing,,0,,161925.79,152210.24,FLEXCUBE-IF,SYSTEM,ACTIVE,
