id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
CD-001,20010200001,CDF3358560001,Internal,HQ001,Asset,Cash In Till,CDF,24591,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CD,OU-CD-TSY,200102,COA-11,,Performing,,0,,98363,93444,FLEXCUBE-IF,SYSTEM,ACTIVE,
CD-002,20010300001,CDF7323105002,Internal,HQ001,Asset,Cash In Transit,CDF,9594,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CD,OU-CD-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CD-003,20010400001,CDF7282666003,Internal,HQ001,Asset,Cash In Atm,CDF,12024,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CD,OU-CD-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CD-004,20010100001,CDF1976698004,Internal,HQ001,Asset,Cash And Central Bank Balances,CDF,173997,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-CD,OU-CD-TSY,200101,COA-11,,Performing,,125278,Statutory cash reserve requirement held at BCC,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
CD-005,20030100001,CDF2533930005,Nostro,HQ001,Asset,Due From Banks - Nostro,CDF,103829,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-CD,OU-CD-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
CD-006,20040100001,CDF5476209006,Customer,HQ001,Asset,Placements With Banks,CDF,101422,2026-09-30,2026-09-30,N/A,Fixed,4.32,,0,Inflow,100,,15,Yes,0.17,LE-CD,OU-CD-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CD-007,20050100001,CDF8045538007,Customer,HQ001,Asset,Treasury Bills,CDF,188492,2026-12-15,,N/A,Fixed,16.82,Level 1,0,HQLA,,,5,Yes,0.38,LE-CD,OU-CD-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
CD-008,20050200001,CDF7969373008,Customer,HQ001,Asset,Government Bonds,CDF,163123,2031-06-30,,N/A,Fixed,11.12,Level 1,0,HQLA,,,5,Yes,3.81,LE-CD,OU-CD-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,40444,Pledged as collateral for BCC standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
CD-009,20050300001,CDF8714801009,Customer,HQ001,Asset,Corporate Bonds,CDF,21277,2029-03-31,,N/A,Fixed,10.09,Level 2A,15,HQLA,,,15,Yes,2.93,LE-CD,OU-CD-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
CD-010,20080200001,CDF3616524010,Internal,HQ001,Asset,Fixed Income Investment Receivable,CDF,14205,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-CD,OU-CD-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
CD-011,20060100001,CDF6250845011,Customer,HQ001,Asset,Loans And Advances - Corporate,CDF,345467,2029-06-30,2026-10-01,N/A,Floating,23.23,,0,,,,85,Yes,6.26,LE-CD,OU-CD-CIB,200601,COA-14,CP-CIB-037,Performing,,0,,51820,46638,FLEXCUBE-IF,SYSTEM,ACTIVE,
CD-012,20060100002,CDF1962176012,Customer,HQ001,Asset,Loans And Advances - Corporate,CDF,28542,2029-06-30,2026-10-01,N/A,Floating,20.78,,0,,,,100,No,2.01,LE-CD,OU-CD-CIB,200601,COA-14,CP-CIB-068,Doubtful,21021,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,247 days past due; non-accrual
CD-013,20060200001,CDF4554798013,Customer,HQ001,Asset,Overdrafts - Corporate,CDF,133152,2027-01-31,2026-08-31,N/A,Floating,11.55,,0,,,,85,Yes,5.66,LE-CD,OU-CD-CIB,200602,COA-14,CP-CIB-031,Performing,,0,,36617,32955,FLEXCUBE-IF,SYSTEM,ACTIVE,
