id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
SS-001,20010200001,SSP3670752001,Internal,HQ001,Asset,Cash In Till,SSP,1074,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-SS,OU-SS-TSY,200102,COA-11,,Performing,,0,,4295,4080,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-002,20010300001,SSP2123607002,Internal,HQ001,Asset,Cash In Transit,SSP,337,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-SS,OU-SS-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-003,20010400001,SSP7903744003,Internal,HQ001,Asset,Cash In Atm,SSP,623,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-SS,OU-SS-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-004,20010100001,SSP4623471004,Internal,HQ001,Asset,Cash And Central Bank Balances,SSP,9245,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-SS,OU-SS-TSY,200101,COA-11,,Performing,,6656,Statutory cash reserve requirement held at BoSS,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
SS-005,20030100001,SSP8427618005,Nostro,HQ001,Asset,Due From Banks - Nostro,SSP,2909,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-SS,OU-SS-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
SS-006,20040100001,SSP3918717006,Customer,HQ001,Asset,Placements With Banks,SSP,4297,2026-09-30,2026-09-30,N/A,Fixed,4.62,,0,Inflow,100,,15,Yes,0.17,LE-SS,OU-SS-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-007,20050100001,SSP9816021007,Customer,HQ001,Asset,Treasury Bills,SSP,8946,2026-12-15,,N/A,Fixed,9.12,Level 1,0,HQLA,,,5,Yes,0.38,LE-SS,OU-SS-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-008,20050200001,SSP4842476008,Customer,HQ001,Asset,Government Bonds,SSP,6074,2031-06-30,,N/A,Fixed,13.31,Level 1,0,HQLA,,,5,Yes,3.91,LE-SS,OU-SS-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,922,Pledged as collateral for BoSS standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
SS-009,20050300001,SSP8946501009,Customer,HQ001,Asset,Corporate Bonds,SSP,1747,2029-03-31,,N/A,Fixed,13.75,Level 2A,15,HQLA,,,15,Yes,2.39,LE-SS,OU-SS-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
SS-010,20080200001,SSP8012857010,Internal,HQ001,Asset,Fixed Income Investment Receivable,SSP,575,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-SS,OU-SS-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
SS-011,20060100001,SSP7890981011,Customer,HQ001,Asset,Loans And Advances - Corporate,SSP,12816,2029-06-30,2026-10-01,N/A,Floating,24.12,,0,,,,85,Yes,5.47,LE-SS,OU-SS-CIB,200601,COA-14,CP-CIB-029,Performing,,0,,1922,1730,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-012,20060100002,SSP4423554012,Customer,HQ001,Asset,Loans And Advances - Corporate,SSP,3431,2029-06-30,2026-10-01,N/A,Floating,10.52,,0,,,,100,No,1.48,LE-SS,OU-SS-CIB,200601,COA-14,CP-CIB-041,Substandard,834,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,130 days past due; non-accrual
SS-013,20060200001,SSP3565762013,Customer,HQ001,Asset,Overdrafts - Corporate,SSP,4398,2027-01-31,2026-08-31,N/A,Floating,15.15,,0,,,,85,Yes,2.63,LE-SS,OU-SS-CIB,200602,COA-14,CP-CIB-038,Performing,,0,,1209,1088,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-014,20060200002,SSP5438103014,Customer,HQ001,Asset,Overdrafts - Corporate,SSP,1560,2027-01-31,2026-08-31,N/A,Floating,22.98,,0,,,,100,No,2.7,LE-SS,OU-SS-CIB,200602,COA-14,CP-CIB-041,Substandard,322,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,128 days past due; non-accrual
SS-015,20060300001,SSP3936628015,Customer,HQ001,Asset,Loans And Advances - Sme,SSP,3884,2028-09-30,2026-10-01,N/A,Floating,25.2,,0,,,,85,Yes,2.34,LE-SS,OU-SS-CIB,200603,COA-14,CP-CIB-002,Performing,,0,,816,734,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-016,20060300002,SSP4160835016,Customer,HQ001,Asset,Loans And Advances - Sme,SSP,1690,2028-09-30,2026-10-01,N/A,Floating,23.49,,0,,,,100,No,1.89,LE-SS,OU-SS-CIB,200603,COA-14,CP-CIB-047,Doubtful,878,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,317 days past due; non-accrual
SS-017,20060400001,SSP6903449017,Customer,HQ001,Asset,Mortgage Loans,SSP,4902,2038-12-31,,N/A,Fixed,23.84,,0,,,,85,Yes,3.04,LE-SS,OU-SS-RTL,200604,COA-14,CP-RTL-032,Performing,,0,,147,132,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-018,20060500001,SSP2438271018,Customer,HQ001,Asset,Personal Loans - Retail,SSP,4484,2029-07-31,,N/A,Fixed,23.31,,0,,,,85,Yes,2.2,LE-SS,OU-SS-RTL,200605,COA-14,CP-RTL-020,Performing,,0,,404,363,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-019,20060500002,SSP9293300019,Customer,HQ001,Asset,Personal Loans - Retail,SSP,1166,2029-07-31,,N/A,Fixed,23.55,,0,,,,100,No,1.81,LE-SS,OU-SS-RTL,200605,COA-14,CP-RTL-066,Substandard,126,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,148 days past due; non-accrual
SS-020,20060600001,SSP4064625020,Customer,HQ001,Asset,Staff Loans,SSP,1043,2032-12-31,,N/A,Fixed,19.98,,0,,,,85,Yes,0.82,LE-SS,OU-SS-RTL,200606,COA-14,CP-RTL-004,Performing,,0,,16,14,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-021,20060700001,SSP2617563021,Customer,HQ001,Asset,Agricultural Finance,SSP,2060,2028-03-31,2026-10-01,N/A,Floating,20.87,,0,,,,85,Yes,4.38,LE-SS,OU-SS-CIB,200607,COA-14,CP-CIB-037,Performing,,0,,227,204,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-022,20060700002,SSP5352554022,Customer,HQ001,Asset,Agricultural Finance,SSP,1068,2028-03-31,2026-10-01,N/A,Floating,19.91,,0,,,,100,No,1.06,LE-SS,OU-SS-CIB,200607,COA-14,CP-CIB-042,Substandard,121,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,145 days past due; non-accrual
SS-023,20060800001,SSP2495337023,Customer,HQ001,Asset,Trade Finance - Import,SSP,3808,2027-04-30,2026-10-31,N/A,Floating,13.1,,0,,,,85,Yes,2.46,LE-SS,OU-SS-CIB,200608,COA-14,CP-CIB-026,Performing,,0,,1162,1045,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-024,20060800002,SSP4515632024,Customer,HQ001,Asset,Trade Finance - Import,SSP,641,2027-04-30,2026-10-31,N/A,Floating,23.52,,0,,,,100,No,0.58,LE-SS,OU-SS-CIB,200608,COA-14,CP-CIB-048,Doubtful,329,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,319 days past due; non-accrual
SS-025,20060900001,SSP7318876025,Customer,HQ001,Asset,Asset Finance - Leases,SSP,2504,2030-09-30,,N/A,Fixed,22.22,,0,,,,85,Yes,3.49,LE-SS,OU-SS-CIB,200609,COA-14,CP-CIB-004,Performing,,0,,150,135,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-026,20060900002,SSP1179154026,Customer,HQ001,Asset,Asset Finance - Leases,SSP,310,2030-09-30,,N/A,Fixed,18.7,,0,,,,100,No,2.91,LE-SS,OU-SS-CIB,200609,COA-14,CP-CIB-065,Substandard,74,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,172 days past due; non-accrual
SS-027,10010100001,SSP1495945027,Internal,HQ001,Asset,Fixed And Other Assets,SSP,1663,,,N/A,N/A,,,0,,,,100,No,,LE-SS,OU-SS-TSY,100101,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Net of accumulated depreciation of 765 SSP
SS-028,10120100001,SSP9892500028,Internal,HQ001,Asset,Fixed Assets Accounts,SSP,1228,,,N/A,N/A,,,0,,,,100,No,,LE-SS,OU-SS-TSY,101201,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Prepayments and sundry receivables
SS-029,40010200001,SSP9807717029,Customer,HQ001,Liability,Current,SSP,8155,,,Core,Fixed,5.53,,0,Outflow,5,90,,No,0.05,LE-SS,OU-SS-RTL,400102,COA-22,,Performing,,0,,10602,9966,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-030,40010500001,SSP9623636030,Customer,HQ001,Liability,Current - Corporate,SSP,14182,,,Operational,Fixed,0.73,,0,Outflow,25,50,,Yes,0.89,LE-SS,OU-SS-CIB,400105,COA-22,,Performing,,0,,26946,25330,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-031,40010100001,SSP4746989031,Customer,HQ001,Liability,Savings,SSP,6220,,,Core,Fixed,9.37,,0,Outflow,5,95,,No,0.99,LE-SS,OU-SS-RTL,400101,COA-22,,Performing,,0,,2612,2456,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-032,40010300001,SSP1827237032,Customer,HQ001,Liability,Fixed,SSP,3986,2027-01-31,,N/A,Fixed,1.59,,0,Outflow,5,95,,Yes,2.33,LE-SS,OU-SS-RTL,400103,COA-22,,Performing,,0,,159,150,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-033,40010600001,SSP3039909033,Customer,HQ001,Liability,Fixed - Corporate,SSP,4028,2026-11-30,2026-11-30,N/A,Fixed,15.03,,0,Outflow,40,50,,Yes,0.79,LE-SS,OU-SS-CIB,400106,COA-22,CP-CIB-001,Performing,,0,,242,218,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-034,40010600002,SSP6679208034,Customer,HQ001,Liability,Fixed - Corporate,SSP,3525,2026-11-30,2026-11-30,N/A,Fixed,13.67,,0,Outflow,40,50,,Yes,0.76,LE-SS,OU-SS-CIB,400106,COA-22,CP-CIB-002,Performing,,0,,211,190,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-035,40010600003,SSP5155913035,Customer,HQ001,Liability,Fixed - Corporate,SSP,3189,2026-11-30,2026-11-30,N/A,Fixed,4.83,,0,Outflow,40,50,,Yes,0.47,LE-SS,OU-SS-CIB,400106,COA-22,CP-CIB-003,Performing,,0,,191,172,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-036,40010600004,SSP2751174036,Customer,HQ001,Liability,Fixed - Corporate,SSP,2350,2026-11-30,2026-11-30,N/A,Fixed,8.11,,0,Outflow,40,50,,Yes,0.86,LE-SS,OU-SS-CIB,400106,COA-22,CP-CIB-004,Performing,,0,,141,127,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-037,40010600005,SSP7403384037,Customer,HQ001,Liability,Fixed - Corporate,SSP,2014,2026-11-30,2026-11-30,N/A,Fixed,7.1,,0,Outflow,40,50,,Yes,1.07,LE-SS,OU-SS-CIB,400106,COA-22,CP-CIB-005,Performing,,0,,121,109,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-038,40010600006,SSP3291676038,Customer,HQ001,Liability,Fixed - Corporate,SSP,1678,2026-11-30,2026-11-30,N/A,Fixed,13.23,,0,Outflow,40,50,,Yes,0.82,LE-SS,OU-SS-CIB,400106,COA-22,CP-CIB-006,Performing,,0,,101,91,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-039,40010400001,SSP7543609039,Customer,HQ001,Liability,Target,SSP,1714,2027-06-30,,N/A,Fixed,3.06,,0,Outflow,3,95,,Yes,0.42,LE-SS,OU-SS-RTL,400104,COA-22,,Performing,,0,,377,354,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-040,40010700001,SSP7881926040,Customer,HQ001,Liability,Domiciliary Deposits,SSP,7313,,,Operational,Fixed,8.0,,0,Outflow,25,50,,Yes,0.33,LE-SS,OU-SS-CIB,400107,COA-22,,Performing,,0,,6216,5843,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-041,40030100001,SSP4954448041,Customer,HQ001,Liability,Due To Banks,SSP,10606,2026-08-20,2026-08-20,N/A,Floating,7.78,,0,Outflow,100,0,,Yes,1.21,LE-SS,OU-SS-TSY,400301,COA-21,CP-INTERBANK-01,Performing,,0,,3182,2991,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-042,40030200001,SSP1382444042,Customer,HQ001,Liability,Long Term Borrowings,SSP,3845,2031-12-31,,N/A,Fixed,7.02,,0,Outflow,0,100,,Yes,1.0,LE-SS,OU-SS-TSY,400302,COA-21,CP-DFI-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
SS-043,40020200001,SSP1381574043,Internal,HQ001,Liability,Interest Payable,SSP,1148,,,N/A,N/A,,,0,Outflow,100,0,,No,,LE-SS,OU-SS-TSY,400202,COA-24,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued interest payable
SS-044,40040100001,SSP1486023044,Internal,HQ001,Liability,Other Liabilities And Accruals,SSP,1445,,,N/A,N/A,,,0,Outflow,100,0,,No,,LE-SS,OU-SS-TSY,400401,COA-24,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Sundry creditors and accruals
SS-045,40040200001,SSP6490123045,Suspense,HQ001,Liability,Managers Cheques Payable,SSP,457,,,N/A,N/A,,,0,Outflow,100,0,,No,,LE-SS,OU-SS-RTL,400402,COA-24,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Suspense — excluded from customer deposits despite the product name
SS-046,30010100001,SSP5544904046,Internal,HQ001,Capital,Share Capital,SSP,7051,,,N/A,N/A,,,0,,,100,,No,,LE-SS,OU-SS-TSY,300101,COA-31,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Paid-up share capital
SS-047,30020100001,SSP3333991047,Internal,HQ001,Capital,Retained Earnings And Reserves,SSP,5577,,,N/A,N/A,,,0,,,100,,No,,LE-SS,OU-SS-TSY,300201,COA-32,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserves and retained earnings — closes the balance sheet
