id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
ST-001,20010200001,STN8278412001,Internal,HQ001,Asset,Cash In Till,STN,31,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ST,OU-ST-TSY,200102,COA-11,,Performing,,0,,124,118,FLEXCUBE-IF,SYSTEM,ACTIVE,
ST-002,20010300001,STN3601137002,Internal,HQ001,Asset,Cash In Transit,STN,9,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ST,OU-ST-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ST-003,20010400001,STN3651131003,Internal,HQ001,Asset,Cash In Atm,STN,12,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ST,OU-ST-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ST-004,20010100001,STN6322432004,Internal,HQ001,Asset,Cash And Central Bank Balances,STN,194,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ST,OU-ST-TSY,200101,COA-11,,Performing,,140,Statutory cash reserve requirement held at BCSTP,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
ST-005,20030100001,STN9944004005,Nostro,HQ001,Asset,Due From Banks - Nostro,STN,81,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-ST,OU-ST-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
ST-006,20040100001,STN6284312006,Customer,HQ001,Asset,Placements With Banks,STN,68,2026-09-30,2026-09-30,N/A,Fixed,9.19,,0,Inflow,100,,15,Yes,0.17,LE-ST,OU-ST-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ST-007,20050100001,STN7978612007,Customer,HQ001,Asset,Treasury Bills,STN,198,2026-12-15,,N/A,Fixed,12.4,Level 1,0,HQLA,,,5,Yes,0.38,LE-ST,OU-ST-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ST-008,20050200001,STN6925446008,Customer,HQ001,Asset,Government Bonds,STN,157,2031-06-30,,N/A,Fixed,16.55,Level 1,0,HQLA,,,5,Yes,4.31,LE-ST,OU-ST-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,39,Pledged as collateral for BCSTP standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
ST-009,20050300001,STN2447853009,Customer,HQ001,Asset,Corporate Bonds,STN,31,2029-03-31,,N/A,Fixed,17.06,Level 2A,15,HQLA,,,15,Yes,2.99,LE-ST,OU-ST-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
ST-010,20080200001,STN5668525010,Internal,HQ001,Asset,Fixed Income Investment Receivable,STN,23,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-ST,OU-ST-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
