id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
ZM-001,20010200001,ZMW8756366001,Internal,HQ001,Asset,Cash In Till,ZMW,202.41,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ZM,OU-ZM-TSY,200102,COA-11,,Performing,,0,,809.65,769.16,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-002,20010300001,ZMW9096257002,Internal,HQ001,Asset,Cash In Transit,ZMW,67.22,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ZM,OU-ZM-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-003,20010400001,ZMW6490850003,Internal,HQ001,Asset,Cash In Atm,ZMW,103.6,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ZM,OU-ZM-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-004,20010100001,ZMW1460083004,Internal,HQ001,Asset,Cash And Central Bank Balances,ZMW,1271.97,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ZM,OU-ZM-TSY,200101,COA-11,,Performing,,915.82,Statutory cash reserve requirement held at BoZ,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
ZM-005,20030100001,ZMW6987329005,Nostro,HQ001,Asset,Due From Banks - Nostro,ZMW,657.97,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-ZM,OU-ZM-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
ZM-006,20040100001,ZMW7203999006,Customer,HQ001,Asset,Placements With Banks,ZMW,523.9,2026-09-30,2026-09-30,N/A,Fixed,8.01,,0,Inflow,100,,15,Yes,0.17,LE-ZM,OU-ZM-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-007,20050100001,ZMW8178035007,Customer,HQ001,Asset,Treasury Bills,ZMW,1069.42,2026-12-15,,N/A,Fixed,11.17,Level 1,0,HQLA,,,5,Yes,0.38,LE-ZM,OU-ZM-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-008,20050200001,ZMW8397954008,Customer,HQ001,Asset,Government Bonds,ZMW,1004.2,2031-06-30,,N/A,Fixed,12.54,Level 1,0,HQLA,,,5,Yes,3.4,LE-ZM,OU-ZM-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,253.6,Pledged as collateral for BoZ standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
ZM-009,20050300001,ZMW1262154009,Customer,HQ001,Asset,Corporate Bonds,ZMW,203.51,2029-03-31,,N/A,Fixed,11.81,Level 2A,15,HQLA,,,15,Yes,2.53,LE-ZM,OU-ZM-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
ZM-010,20080200001,ZMW3867929010,Internal,HQ001,Asset,Fixed Income Investment Receivable,ZMW,157.32,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-ZM,OU-ZM-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
ZM-011,20060100001,ZMW8165283011,Customer,HQ001,Asset,Loans And Advances - Corporate,ZMW,2814.08,2029-06-30,2026-10-01,N/A,Floating,9.3,,0,,,,85,Yes,6.14,LE-ZM,OU-ZM-CIB,200601,COA-14,CP-CIB-027,Performing,,0,,422.11,379.9,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-012,20060100002,ZMW7376984012,Customer,HQ001,Asset,Loans And Advances - Corporate,ZMW,141.48,2029-06-30,2026-10-01,N/A,Floating,17.54,,0,,,,100,No,0.53,LE-ZM,OU-ZM-CIB,200601,COA-14,CP-CIB-052,Substandard,25.19,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,110 days past due; non-accrual
ZM-013,20060200001,ZMW9181171013,Customer,HQ001,Asset,Overdrafts - Corporate,ZMW,773.7,2027-01-31,2026-08-31,N/A,Floating,17.24,,0,,,,85,Yes,3.91,LE-ZM,OU-ZM-CIB,200602,COA-14,CP-CIB-024,Performing,,0,,212.77,191.49,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-014,20060200002,ZMW8748305014,Customer,HQ001,Asset,Overdrafts - Corporate,ZMW,64.35,2027-01-31,2026-08-31,N/A,Floating,15.16,,0,,,,100,No,1.01,LE-ZM,OU-ZM-CIB,200602,COA-14,CP-CIB-049,Loss,58.3,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,599 days past due; non-accrual
ZM-015,20060300001,ZMW8990617015,Customer,HQ001,Asset,Loans And Advances - Sme,ZMW,958.32,2028-09-30,2026-10-01,N/A,Floating,10.64,,0,,,,85,Yes,0.52,LE-ZM,OU-ZM-CIB,200603,COA-14,CP-CIB-002,Performing,,0,,201.25,181.12,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-016,20060300002,ZMW6832879016,Customer,HQ001,Asset,Loans And Advances - Sme,ZMW,69.7,2028-09-30,2026-10-01,N/A,Floating,17.37,,0,,,,100,No,2.67,LE-ZM,OU-ZM-CIB,200603,COA-14,CP-CIB-061,Substandard,11.75,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,93 days past due; non-accrual
ZM-017,20060400001,ZMW1539683017,Customer,HQ001,Asset,Mortgage Loans,ZMW,702.07,2038-12-31,,N/A,Fixed,24.72,,0,,,,85,Yes,2.1,LE-ZM,OU-ZM-RTL,200604,COA-14,CP-RTL-038,Performing,,0,,21.06,18.96,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-018,20060500001,ZMW2601935018,Customer,HQ001,Asset,Personal Loans - Retail,ZMW,862.7,2029-07-31,,N/A,Fixed,10.57,,0,,,,85,Yes,6.3,LE-ZM,OU-ZM-RTL,200605,COA-14,CP-RTL-033,Performing,,0,,77.64,69.88,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-019,20060500002,ZMW1902267019,Customer,HQ001,Asset,Personal Loans - Retail,ZMW,48.07,2029-07-31,,N/A,Fixed,24.95,,0,,,,100,No,1.36,LE-ZM,OU-ZM-RTL,200605,COA-14,CP-RTL-041,Doubtful,35.57,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,342 days past due; non-accrual
ZM-020,20060600001,ZMW1023939020,Customer,HQ001,Asset,Staff Loans,ZMW,99.11,2032-12-31,,N/A,Fixed,24.94,,0,,,,85,Yes,3.23,LE-ZM,OU-ZM-RTL,200606,COA-14,CP-RTL-039,Performing,,0,,1.49,1.34,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-021,20060700001,ZMW5718220021,Customer,HQ001,Asset,Agricultural Finance,ZMW,526.56,2028-03-31,2026-10-01,N/A,Floating,11.04,,0,,,,85,Yes,6.33,LE-ZM,OU-ZM-CIB,200607,COA-14,CP-CIB-006,Performing,,0,,57.92,52.13,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-022,20060700002,ZMW7965997022,Customer,HQ001,Asset,Agricultural Finance,ZMW,44.03,2028-03-31,2026-10-01,N/A,Floating,15.77,,0,,,,100,No,2.98,LE-ZM,OU-ZM-CIB,200607,COA-14,CP-CIB-068,Doubtful,27.34,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,184 days past due; non-accrual
ZM-023,20060800001,ZMW4793607023,Customer,HQ001,Asset,Trade Finance - Import,ZMW,590.16,2027-04-30,2026-10-31,N/A,Floating,23.44,,0,,,,85,Yes,4.59,LE-ZM,OU-ZM-CIB,200608,COA-14,CP-CIB-013,Performing,,0,,180.0,162.0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-024,20060800002,ZMW2429905024,Customer,HQ001,Asset,Trade Finance - Import,ZMW,26.44,2027-04-30,2026-10-31,N/A,Floating,17.51,,0,,,,100,No,2.64,LE-ZM,OU-ZM-CIB,200608,COA-14,CP-CIB-055,Doubtful,16.16,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,330 days past due; non-accrual
ZM-025,20060900001,ZMW9144517025,Customer,HQ001,Asset,Asset Finance - Leases,ZMW,324.55,2030-09-30,,N/A,Fixed,15.02,,0,,,,85,Yes,2.62,LE-ZM,OU-ZM-CIB,200609,COA-14,CP-CIB-006,Performing,,0,,19.47,17.53,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-026,20060900002,ZMW7160599026,Customer,HQ001,Asset,Asset Finance - Leases,ZMW,12.78,2030-09-30,,N/A,Fixed,12.48,,0,,,,100,No,0.5,LE-ZM,OU-ZM-CIB,200609,COA-14,CP-CIB-060,Doubtful,6.62,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,195 days past due; non-accrual
ZM-027,10010100001,ZMW3151024027,Internal,HQ001,Asset,Fixed And Other Assets,ZMW,230.59,,,N/A,N/A,,,0,,,,100,No,,LE-ZM,OU-ZM-TSY,100101,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Net of accumulated depreciation of 92 ZMW
ZM-028,10120100001,ZMW5745165028,Internal,HQ001,Asset,Fixed Assets Accounts,ZMW,189.31,,,N/A,N/A,,,0,,,,100,No,,LE-ZM,OU-ZM-TSY,101201,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Prepayments and sundry receivables
ZM-029,40010200001,ZMW6583575029,Customer,HQ001,Liability,Current,ZMW,1845.98,,,Core,Fixed,1.39,,0,Outflow,5,90,,No,0.93,LE-ZM,OU-ZM-RTL,400102,COA-22,,Performing,,0,,2399.77,2255.79,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-030,40010500001,ZMW7494575030,Customer,HQ001,Liability,Current - Corporate,ZMW,1754.29,,,Operational,Fixed,13.53,,0,Outflow,25,50,,Yes,2.05,LE-ZM,OU-ZM-CIB,400105,COA-22,,Performing,,0,,3333.15,3133.16,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-031,40010100001,ZMW2313104031,Customer,HQ001,Liability,Savings,ZMW,1409.59,,,Core,Fixed,10.39,,0,Outflow,5,95,,No,1.43,LE-ZM,OU-ZM-RTL,400101,COA-22,,Performing,,0,,592.03,556.51,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-032,40010300001,ZMW2634308032,Customer,HQ001,Liability,Fixed,ZMW,1046.67,2027-01-31,,N/A,Fixed,10.34,,0,Outflow,5,95,,Yes,0.25,LE-ZM,OU-ZM-RTL,400103,COA-22,,Performing,,0,,41.87,39.35,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-033,40010600001,ZMW4453144033,Customer,HQ001,Liability,Fixed - Corporate,ZMW,406.04,2026-11-30,2026-11-30,N/A,Fixed,13.56,,0,Outflow,40,50,,Yes,0.58,LE-ZM,OU-ZM-CIB,400106,COA-22,CP-CIB-001,Performing,,0,,24.36,21.93,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-034,40010600002,ZMW9735639034,Customer,HQ001,Liability,Fixed - Corporate,ZMW,355.29,2026-11-30,2026-11-30,N/A,Fixed,10.36,,0,Outflow,40,50,,Yes,0.7,LE-ZM,OU-ZM-CIB,400106,COA-22,CP-CIB-002,Performing,,0,,21.32,19.19,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-035,40010600003,ZMW8899013035,Customer,HQ001,Liability,Fixed - Corporate,ZMW,321.45,2026-11-30,2026-11-30,N/A,Fixed,12.93,,0,Outflow,40,50,,Yes,0.87,LE-ZM,OU-ZM-CIB,400106,COA-22,CP-CIB-003,Performing,,0,,19.29,17.36,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZM-036,40010600004,ZMW8192865036,Customer,HQ001,Liability,Fixed - Corporate,ZMW,236.86,2026-11-30,2026-11-30,N/A,Fixed,12.12,,0,Outflow,40,50,,Yes,0.1,LE-ZM,OU-ZM-CIB,400106,COA-22,CP-CIB-004,Performing,,0,,14.21,12.79,FLEXCUBE-IF,SYSTEM,ACTIVE,
