id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
GA-001,20010200001,XAF1420890001,Internal,HQ001,Asset,Cash In Till,XAF,6147,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GA,OU-GA-TSY,200102,COA-11,,Performing,,0,,24587,23357,FLEXCUBE-IF,SYSTEM,ACTIVE,
GA-002,20010300001,XAF6514375002,Internal,HQ001,Asset,Cash In Transit,XAF,1621,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GA,OU-GA-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GA-003,20010400001,XAF1745353003,Internal,HQ001,Asset,Cash In Atm,XAF,3854,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GA,OU-GA-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GA-004,20010100001,XAF7353730004,Internal,HQ001,Asset,Cash And Central Bank Balances,XAF,39929,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-GA,OU-GA-TSY,200101,COA-11,,Performing,,28749,Statutory cash reserve requirement held at BEAC / COBAC,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
GA-005,20030100001,XAF6148336005,Nostro,HQ001,Asset,Due From Banks - Nostro,XAF,19580,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-GA,OU-GA-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
GA-006,20040100001,XAF2366664006,Customer,HQ001,Asset,Placements With Banks,XAF,18784,2026-09-30,2026-09-30,N/A,Fixed,9.51,,0,Inflow,100,,15,Yes,0.17,LE-GA,OU-GA-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GA-007,20050100001,XAF5225630007,Customer,HQ001,Asset,Treasury Bills,XAF,39673,2026-12-15,,N/A,Fixed,11.85,Level 1,0,HQLA,,,5,Yes,0.38,LE-GA,OU-GA-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
GA-008,20050200001,XAF2350744008,Customer,HQ001,Asset,Government Bonds,XAF,29093,2031-06-30,,N/A,Fixed,16.54,Level 1,0,HQLA,,,5,Yes,4.46,LE-GA,OU-GA-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,5701,Pledged as collateral for BEAC / COBAC standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
GA-009,20050300001,XAF5938542009,Customer,HQ001,Asset,Corporate Bonds,XAF,15175,2029-03-31,,N/A,Fixed,18.7,Level 2A,15,HQLA,,,15,Yes,2.49,LE-GA,OU-GA-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
GA-010,20080200001,XAF9277384010,Internal,HQ001,Asset,Fixed Income Investment Receivable,XAF,5725,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-GA,OU-GA-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
