id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
LR-001,20010200001,LRD7090698001,Internal,HQ001,Asset,Cash In Till,LRD,393.82,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-LR,OU-LR-TSY,200102,COA-11,,Performing,,0,,1575.28,1496.52,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-002,20010300001,LRD9821436002,Internal,HQ001,Asset,Cash In Transit,LRD,115.07,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-LR,OU-LR-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-003,20010400001,LRD5174098003,Internal,HQ001,Asset,Cash In Atm,LRD,177.78,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-LR,OU-LR-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-004,20010100001,LRD9255417004,Internal,HQ001,Asset,Cash And Central Bank Balances,LRD,2576.97,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-LR,OU-LR-TSY,200101,COA-11,,Performing,,1855.42,Statutory cash reserve requirement held at CBL,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
LR-005,20030100001,LRD9002111005,Nostro,HQ001,Asset,Due From Banks - Nostro,LRD,1681.64,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-LR,OU-LR-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
LR-006,20040100001,LRD2563930006,Customer,HQ001,Asset,Placements With Banks,LRD,1447.05,2026-09-30,2026-09-30,N/A,Fixed,6.98,,0,Inflow,100,,15,Yes,0.17,LE-LR,OU-LR-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-007,20050100001,LRD4949238007,Customer,HQ001,Asset,Treasury Bills,LRD,2774.8,2026-12-15,,N/A,Fixed,11.07,Level 1,0,HQLA,,,5,Yes,0.38,LE-LR,OU-LR-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-008,20050200001,LRD4761627008,Customer,HQ001,Asset,Government Bonds,LRD,2712.79,2031-06-30,,N/A,Fixed,15.65,Level 1,0,HQLA,,,5,Yes,3.62,LE-LR,OU-LR-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,778.9,Pledged as collateral for CBL standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
LR-009,20050300001,LRD5592438009,Customer,HQ001,Asset,Corporate Bonds,LRD,892.95,2029-03-31,,N/A,Fixed,8.34,Level 2A,15,HQLA,,,15,Yes,2.36,LE-LR,OU-LR-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
LR-010,20080200001,LRD3952541010,Internal,HQ001,Asset,Fixed Income Investment Receivable,LRD,206.18,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-LR,OU-LR-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
LR-011,20060100001,LRD4111954011,Customer,HQ001,Asset,Loans And Advances - Corporate,LRD,4546.36,2029-06-30,2026-10-01,N/A,Floating,24.85,,0,,,,85,Yes,5.2,LE-LR,OU-LR-CIB,200601,COA-14,CP-CIB-036,Performing,,0,,681.95,613.76,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-012,20060100002,LRD4075008012,Customer,HQ001,Asset,Loans And Advances - Corporate,LRD,502.3,2029-06-30,2026-10-01,N/A,Floating,25.39,,0,,,,100,No,2.94,LE-LR,OU-LR-CIB,200601,COA-14,CP-CIB-055,Substandard,95.21,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,141 days past due; non-accrual
LR-013,20060200001,LRD5559705013,Customer,HQ001,Asset,Overdrafts - Corporate,LRD,2270.17,2027-01-31,2026-08-31,N/A,Floating,15.56,,0,,,,85,Yes,2.26,LE-LR,OU-LR-CIB,200602,COA-14,CP-CIB-009,Performing,,0,,624.3,561.87,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-014,20060200002,LRD9842439014,Customer,HQ001,Asset,Overdrafts - Corporate,LRD,228.46,2027-01-31,2026-08-31,N/A,Floating,12.84,,0,,,,100,No,1.32,LE-LR,OU-LR-CIB,200602,COA-14,CP-CIB-065,Substandard,46.27,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,151 days past due; non-accrual
LR-015,20060300001,LRD1746586015,Customer,HQ001,Asset,Loans And Advances - Sme,LRD,1354.03,2028-09-30,2026-10-01,N/A,Floating,16.74,,0,,,,85,Yes,5.01,LE-LR,OU-LR-CIB,200603,COA-14,CP-CIB-001,Performing,,0,,284.35,255.91,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-016,20060300002,LRD9071265016,Customer,HQ001,Asset,Loans And Advances - Sme,LRD,247.46,2028-09-30,2026-10-01,N/A,Floating,23.96,,0,,,,100,No,2.03,LE-LR,OU-LR-CIB,200603,COA-14,CP-CIB-067,Loss,232.29,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,848 days past due; non-accrual
LR-017,20060400001,LRD3072480017,Customer,HQ001,Asset,Mortgage Loans,LRD,1539.25,2038-12-31,,N/A,Fixed,21.91,,0,,,,85,Yes,3.6,LE-LR,OU-LR-RTL,200604,COA-14,CP-RTL-014,Performing,,0,,46.18,41.56,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-018,20060500001,LRD3450518018,Customer,HQ001,Asset,Personal Loans - Retail,LRD,1991.14,2029-07-31,,N/A,Fixed,15.34,,0,,,,85,Yes,3.58,LE-LR,OU-LR-RTL,200605,COA-14,CP-RTL-006,Performing,,0,,179.2,161.28,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-019,20060500002,LRD3666658019,Customer,HQ001,Asset,Personal Loans - Retail,LRD,170.67,2029-07-31,,N/A,Fixed,16.37,,0,,,,100,No,1.49,LE-LR,OU-LR-RTL,200605,COA-14,CP-RTL-069,Substandard,28.07,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,162 days past due; non-accrual
LR-020,20060600001,LRD2768105020,Customer,HQ001,Asset,Staff Loans,LRD,387.33,2032-12-31,,N/A,Fixed,18.35,,0,,,,85,Yes,4.78,LE-LR,OU-LR-RTL,200606,COA-14,CP-RTL-021,Performing,,0,,5.81,5.23,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-021,20060700001,LRD1301221021,Customer,HQ001,Asset,Agricultural Finance,LRD,1005.59,2028-03-31,2026-10-01,N/A,Floating,21.28,,0,,,,85,Yes,2.18,LE-LR,OU-LR-CIB,200607,COA-14,CP-CIB-020,Performing,,0,,110.62,99.55,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-022,20060700002,LRD5821891022,Customer,HQ001,Asset,Agricultural Finance,LRD,156.31,2028-03-31,2026-10-01,N/A,Floating,13.35,,0,,,,100,No,2.59,LE-LR,OU-LR-CIB,200607,COA-14,CP-CIB-060,Substandard,39.04,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,141 days past due; non-accrual
LR-023,20060800001,LRD9114646023,Customer,HQ001,Asset,Trade Finance - Import,LRD,1447.2,2027-04-30,2026-10-31,N/A,Floating,10.31,,0,,,,85,Yes,2.33,LE-LR,OU-LR-CIB,200608,COA-14,CP-CIB-014,Performing,,0,,441.39,397.26,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-024,20060800002,LRD8896985024,Customer,HQ001,Asset,Trade Finance - Import,LRD,93.87,2027-04-30,2026-10-31,N/A,Floating,23.73,,0,,,,100,No,1.34,LE-LR,OU-LR-CIB,200608,COA-14,CP-CIB-045,Substandard,18.58,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,177 days past due; non-accrual
LR-025,20060900001,LRD3873120025,Customer,HQ001,Asset,Asset Finance - Leases,LRD,683.06,2030-09-30,,N/A,Fixed,19.42,,0,,,,85,Yes,3.0,LE-LR,OU-LR-CIB,200609,COA-14,CP-CIB-020,Performing,,0,,40.98,36.89,FLEXCUBE-IF,SYSTEM,ACTIVE,
LR-026,20060900002,LRD9244456026,Customer,HQ001,Asset,Asset Finance - Leases,LRD,45.38,2030-09-30,,N/A,Fixed,13.18,,0,,,,100,No,1.68,LE-LR,OU-LR-CIB,200609,COA-14,CP-CIB-047,Doubtful,26.31,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,282 days past due; non-accrual
LR-027,10010100001,LRD5073324027,Internal,HQ001,Asset,Fixed And Other Assets,LRD,1030.72,,,N/A,N/A,,,0,,,,100,No,,LE-LR,OU-LR-TSY,100101,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Non-earning
LR-028,10130100001,LRD5044813028,Internal,HQ001,Asset,Cumm. Depreciation Level2,LRD,-352.83,,,N/A,N/A,,,0,,,,100,No,,LE-LR,OU-LR-TSY,101301,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accumulated depreciation — credit balance
