id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
ML-001,20010200001,XOF7406517001,Internal,HQ001,Asset,Cash In Till,XOF,9532,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ML,OU-ML-TSY,200102,COA-11,,Performing,,0,,38129,36223,FLEXCUBE-IF,SYSTEM,ACTIVE,
ML-002,20010300001,XOF8472586002,Internal,HQ001,Asset,Cash In Transit,XOF,2153,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ML,OU-ML-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ML-003,20010400001,XOF1881055003,Internal,HQ001,Asset,Cash In Atm,XOF,4673,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ML,OU-ML-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ML-004,20010100001,XOF9421629004,Internal,HQ001,Asset,Cash And Central Bank Balances,XOF,50789,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ML,OU-ML-TSY,200101,COA-11,,Performing,,36568,Statutory cash reserve requirement held at BCEAO,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
ML-005,20030100001,XOF8929691005,Nostro,HQ001,Asset,Due From Banks - Nostro,XOF,40774,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-ML,OU-ML-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
ML-006,20040100001,XOF3584277006,Customer,HQ001,Asset,Placements With Banks,XOF,22553,2026-09-30,2026-09-30,N/A,Fixed,7.89,,0,Inflow,100,,15,Yes,0.17,LE-ML,OU-ML-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ML-007,20050100001,XOF4565304007,Customer,HQ001,Asset,Treasury Bills,XOF,56184,2026-12-15,,N/A,Fixed,16.77,Level 1,0,HQLA,,,5,Yes,0.38,LE-ML,OU-ML-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ML-008,20050200001,XOF1729917008,Customer,HQ001,Asset,Government Bonds,XOF,62031,2031-06-30,,N/A,Fixed,11.84,Level 1,0,HQLA,,,5,Yes,3.76,LE-ML,OU-ML-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,15236,Pledged as collateral for BCEAO standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
ML-009,20050300001,XOF8894309009,Customer,HQ001,Asset,Corporate Bonds,XOF,15728,2029-03-31,,N/A,Fixed,13.54,Level 2A,15,HQLA,,,15,Yes,2.88,LE-ML,OU-ML-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
ML-010,20080200001,XOF4072367010,Internal,HQ001,Asset,Fixed Income Investment Receivable,XOF,5451,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-ML,OU-ML-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
ML-011,20060100001,XOF9922314011,Customer,HQ001,Asset,Loans And Advances - Corporate,XOF,121815,2029-06-30,2026-10-01,N/A,Floating,17.22,,0,,,,85,Yes,5.18,LE-ML,OU-ML-CIB,200601,COA-14,CP-CIB-006,Performing,,0,,18272,16445,FLEXCUBE-IF,SYSTEM,ACTIVE,
ML-012,20060100002,XOF6708533012,Customer,HQ001,Asset,Loans And Advances - Corporate,XOF,19286,2029-06-30,2026-10-01,N/A,Floating,17.69,,0,,,,100,No,2.07,LE-ML,OU-ML-CIB,200601,COA-14,CP-CIB-058,Doubtful,12037,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,349 days past due; non-accrual
ML-013,20060200001,XOF2616846013,Customer,HQ001,Asset,Overdrafts - Corporate,XOF,24793,2027-01-31,2026-08-31,N/A,Floating,18.97,,0,,,,85,Yes,6.23,LE-ML,OU-ML-CIB,200602,COA-14,CP-CIB-010,Performing,,0,,6818,6136,FLEXCUBE-IF,SYSTEM,ACTIVE,
