id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
RW-001,20010200001,RWF3839323001,Internal,HQ001,Asset,Cash In Till,RWF,3757,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-RW,OU-RW-TSY,200102,COA-11,,Performing,,0,,15027,14276,FLEXCUBE-IF,SYSTEM,ACTIVE,
RW-002,20010300001,RWF3172034002,Internal,HQ001,Asset,Cash In Transit,RWF,1100,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-RW,OU-RW-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
RW-003,20010400001,RWF8188963003,Internal,HQ001,Asset,Cash In Atm,RWF,2535,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-RW,OU-RW-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
RW-004,20010100001,RWF3989570004,Internal,HQ001,Asset,Cash And Central Bank Balances,RWF,36814,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-RW,OU-RW-TSY,200101,COA-11,,Performing,,26506,Statutory cash reserve requirement held at BNR,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
RW-005,20030100001,RWF6912028005,Nostro,HQ001,Asset,Due From Banks - Nostro,RWF,13235,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-RW,OU-RW-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
RW-006,20040100001,RWF1391926006,Customer,HQ001,Asset,Placements With Banks,RWF,12441,2026-09-30,2026-09-30,N/A,Fixed,5.4,,0,Inflow,100,,15,Yes,0.17,LE-RW,OU-RW-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
RW-007,20050100001,RWF3872062007,Customer,HQ001,Asset,Treasury Bills,RWF,39676,2026-12-15,,N/A,Fixed,15.18,Level 1,0,HQLA,,,5,Yes,0.38,LE-RW,OU-RW-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
RW-008,20050200001,RWF3066707008,Customer,HQ001,Asset,Government Bonds,RWF,24213,2031-06-30,,N/A,Fixed,9.2,Level 1,0,HQLA,,,5,Yes,4.29,LE-RW,OU-RW-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,4309,Pledged as collateral for BNR standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
RW-009,20050300001,RWF3036382009,Customer,HQ001,Asset,Corporate Bonds,RWF,4390,2029-03-31,,N/A,Fixed,16.38,Level 2A,15,HQLA,,,15,Yes,2.65,LE-RW,OU-RW-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
RW-010,20080200001,RWF7976413010,Internal,HQ001,Asset,Fixed Income Investment Receivable,RWF,3256,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-RW,OU-RW-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
