id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
TZ-001,20010200001,TZS9890680001,Internal,HQ001,Asset,Cash In Till,TZS,9255,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-TZ,OU-TZ-TSY,200102,COA-11,,Performing,,0,,37022,35171,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-002,20010300001,TZS4684452002,Internal,HQ001,Asset,Cash In Transit,TZS,2771,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-TZ,OU-TZ-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-003,20010400001,TZS7026465003,Internal,HQ001,Asset,Cash In Atm,TZS,5294,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-TZ,OU-TZ-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-004,20010100001,TZS3434526004,Internal,HQ001,Asset,Cash And Central Bank Balances,TZS,74416,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-TZ,OU-TZ-TSY,200101,COA-11,,Performing,,53580,Statutory cash reserve requirement held at BoT,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
TZ-005,20030100001,TZS1549536005,Nostro,HQ001,Asset,Due From Banks - Nostro,TZS,34758,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-TZ,OU-TZ-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
TZ-006,20040100001,TZS5389068006,Customer,HQ001,Asset,Placements With Banks,TZS,23471,2026-09-30,2026-09-30,N/A,Fixed,5.01,,0,Inflow,100,,15,Yes,0.17,LE-TZ,OU-TZ-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-007,20050100001,TZS6925216007,Customer,HQ001,Asset,Treasury Bills,TZS,88929,2026-12-15,,N/A,Fixed,16.48,Level 1,0,HQLA,,,5,Yes,0.38,LE-TZ,OU-TZ-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-008,20050200001,TZS9013681008,Customer,HQ001,Asset,Government Bonds,TZS,50776,2031-06-30,,N/A,Fixed,16.47,Level 1,0,HQLA,,,5,Yes,3.82,LE-TZ,OU-TZ-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,12904,Pledged as collateral for BoT standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
TZ-009,20050300001,TZS3989103009,Customer,HQ001,Asset,Corporate Bonds,TZS,18823,2029-03-31,,N/A,Fixed,9.68,Level 2A,15,HQLA,,,15,Yes,2.76,LE-TZ,OU-TZ-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
TZ-010,20080200001,TZS9158477010,Internal,HQ001,Asset,Fixed Income Investment Receivable,TZS,7923,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-TZ,OU-TZ-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
TZ-011,20060100001,TZS3594820011,Customer,HQ001,Asset,Loans And Advances - Corporate,TZS,142404,2029-06-30,2026-10-01,N/A,Floating,13.83,,0,,,,85,Yes,0.74,LE-TZ,OU-TZ-CIB,200601,COA-14,CP-CIB-002,Performing,,0,,21361,19225,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-012,20060100002,TZS8791273012,Customer,HQ001,Asset,Loans And Advances - Corporate,TZS,10310,2029-06-30,2026-10-01,N/A,Floating,12.12,,0,,,,100,No,0.63,LE-TZ,OU-TZ-CIB,200601,COA-14,CP-CIB-061,Substandard,1707,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,177 days past due; non-accrual
TZ-013,20060200001,TZS6225595013,Customer,HQ001,Asset,Overdrafts - Corporate,TZS,56272,2027-01-31,2026-08-31,N/A,Floating,11.14,,0,,,,85,Yes,2.21,LE-TZ,OU-TZ-CIB,200602,COA-14,CP-CIB-037,Performing,,0,,15475,13927,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-014,20060200002,TZS4089037014,Customer,HQ001,Asset,Overdrafts - Corporate,TZS,4689,2027-01-31,2026-08-31,N/A,Floating,11.88,,0,,,,100,No,1.14,LE-TZ,OU-TZ-CIB,200602,COA-14,CP-CIB-061,Doubtful,3332,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,352 days past due; non-accrual
TZ-015,20060300001,TZS1603784015,Customer,HQ001,Asset,Loans And Advances - Sme,TZS,43986,2028-09-30,2026-10-01,N/A,Floating,22.47,,0,,,,85,Yes,1.32,LE-TZ,OU-TZ-CIB,200603,COA-14,CP-CIB-016,Performing,,0,,9237,8313,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-016,20060300002,TZS3088170016,Customer,HQ001,Asset,Loans And Advances - Sme,TZS,5079,2028-09-30,2026-10-01,N/A,Floating,10.4,,0,,,,100,No,0.83,LE-TZ,OU-TZ-CIB,200603,COA-14,CP-CIB-041,Substandard,1235,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,170 days past due; non-accrual
TZ-017,20060400001,TZS4203514017,Customer,HQ001,Asset,Mortgage Loans,TZS,30001,2038-12-31,,N/A,Fixed,18.0,,0,,,,85,Yes,6.0,LE-TZ,OU-TZ-RTL,200604,COA-14,CP-RTL-033,Performing,,0,,900,810,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-018,20060500001,TZS7931510018,Customer,HQ001,Asset,Personal Loans - Retail,TZS,35949,2029-07-31,,N/A,Fixed,9.33,,0,,,,85,Yes,1.2,LE-TZ,OU-TZ-RTL,200605,COA-14,CP-RTL-021,Performing,,0,,3235,2912,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-019,20060500002,TZS5986584019,Customer,HQ001,Asset,Personal Loans - Retail,TZS,3503,2029-07-31,,N/A,Fixed,11.86,,0,,,,100,No,2.95,LE-TZ,OU-TZ-RTL,200605,COA-14,CP-RTL-041,Substandard,400,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,102 days past due; non-accrual
TZ-020,20060600001,TZS1048043020,Customer,HQ001,Asset,Staff Loans,TZS,5959,2032-12-31,,N/A,Fixed,13.3,,0,,,,85,Yes,6.05,LE-TZ,OU-TZ-RTL,200606,COA-14,CP-RTL-010,Performing,,0,,89,80,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-021,20060700001,TZS4875105021,Customer,HQ001,Asset,Agricultural Finance,TZS,26940,2028-03-31,2026-10-01,N/A,Floating,11.16,,0,,,,85,Yes,0.77,LE-TZ,OU-TZ-CIB,200607,COA-14,CP-CIB-029,Performing,,0,,2963,2667,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-022,20060700002,TZS5276595022,Customer,HQ001,Asset,Agricultural Finance,TZS,3208,2028-03-31,2026-10-01,N/A,Floating,18.81,,0,,,,100,No,2.13,LE-TZ,OU-TZ-CIB,200607,COA-14,CP-CIB-056,Substandard,604,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,115 days past due; non-accrual
TZ-023,20060800001,TZS9910118023,Customer,HQ001,Asset,Trade Finance - Import,TZS,36549,2027-04-30,2026-10-31,N/A,Floating,11.55,,0,,,,85,Yes,5.24,LE-TZ,OU-TZ-CIB,200608,COA-14,CP-CIB-018,Performing,,0,,11148,10033,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-024,20060800002,TZS4135341024,Customer,HQ001,Asset,Trade Finance - Import,TZS,1927,2027-04-30,2026-10-31,N/A,Floating,21.59,,0,,,,100,No,1.74,LE-TZ,OU-TZ-CIB,200608,COA-14,CP-CIB-070,Doubtful,1191,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,346 days past due; non-accrual
TZ-025,20060900001,TZS1859207025,Customer,HQ001,Asset,Asset Finance - Leases,TZS,15166,2030-09-30,,N/A,Fixed,12.86,,0,,,,85,Yes,4.51,LE-TZ,OU-TZ-CIB,200609,COA-14,CP-CIB-032,Performing,,0,,910,819,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-026,20060900002,TZS1556308026,Customer,HQ001,Asset,Asset Finance - Leases,TZS,931,2030-09-30,,N/A,Fixed,18.0,,0,,,,100,No,2.17,LE-TZ,OU-TZ-CIB,200609,COA-14,CP-CIB-067,Doubtful,589,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,261 days past due; non-accrual
TZ-027,10010100001,TZS4983416027,Internal,HQ001,Asset,Fixed And Other Assets,TZS,27029,,,N/A,N/A,,,0,,,,100,No,,LE-TZ,OU-TZ-TSY,100101,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Non-earning
TZ-028,10130100001,TZS5846079028,Internal,HQ001,Asset,Cumm. Depreciation Level2,TZS,-6013,,,N/A,N/A,,,0,,,,100,No,,LE-TZ,OU-TZ-TSY,101301,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accumulated depreciation — credit balance
TZ-029,10120100001,TZS7112120029,Internal,HQ001,Asset,Fixed Assets Accounts,TZS,7388,,,N/A,N/A,,,0,,,,100,No,,LE-TZ,OU-TZ-TSY,101201,COA-15,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Prepayments and sundry receivables
TZ-030,40010200001,TZS6469696030,Customer,HQ001,Liability,Current,TZS,145352,,,Stable,Fixed,12.84,,0,Outflow,5,90,,No,0.77,LE-TZ,OU-TZ-RTL,400102,COA-22,,Performing,,0,,188958,177620,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-031,40010500001,TZS7925434031,Customer,HQ001,Liability,Current - Corporate,TZS,104767,,,Less Stable,Fixed,11.29,,0,Outflow,25,50,,Yes,0.81,LE-TZ,OU-TZ-CIB,400105,COA-22,,Performing,,0,,199057,187114,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-032,40010100001,TZS2155518032,Customer,HQ001,Liability,Savings,TZS,120573,,,Stable,Fixed,4.33,,0,Outflow,5,95,,No,0.38,LE-TZ,OU-TZ-RTL,400101,COA-22,,Performing,,0,,50641,47602,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-033,40010300001,TZS6292801033,Customer,HQ001,Liability,Fixed,TZS,80562,2027-01-31,,Stable,Fixed,7.1,,0,Outflow,5,95,,Yes,0.68,LE-TZ,OU-TZ-RTL,400103,COA-22,,Performing,,0,,3222,3029,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-034,40010600001,TZS8197631034,Customer,HQ001,Liability,Fixed - Corporate,TZS,22950,2026-11-30,2026-11-30,Volatile,Fixed,14.39,,0,Outflow,40,50,,Yes,1.07,LE-TZ,OU-TZ-CIB,400106,COA-22,CP-CIB-001,Performing,,0,,1377,1239,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-035,40010600002,TZS5974610035,Customer,HQ001,Liability,Fixed - Corporate,TZS,20082,2026-11-30,2026-11-30,Volatile,Fixed,14.11,,0,Outflow,40,50,,Yes,1.06,LE-TZ,OU-TZ-CIB,400106,COA-22,CP-CIB-002,Performing,,0,,1205,1084,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-036,40010600003,TZS7795984036,Customer,HQ001,Liability,Fixed - Corporate,TZS,18169,2026-11-30,2026-11-30,Volatile,Fixed,15.41,,0,Outflow,40,50,,Yes,0.33,LE-TZ,OU-TZ-CIB,400106,COA-22,CP-CIB-003,Performing,,0,,1090,981,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-037,40010600004,TZS9095924037,Customer,HQ001,Liability,Fixed - Corporate,TZS,13388,2026-11-30,2026-11-30,Volatile,Fixed,13.21,,0,Outflow,40,50,,Yes,0.24,LE-TZ,OU-TZ-CIB,400106,COA-22,CP-CIB-004,Performing,,0,,803,723,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-038,40010600005,TZS7979412038,Customer,HQ001,Liability,Fixed - Corporate,TZS,11475,2026-11-30,2026-11-30,Volatile,Fixed,13.17,,0,Outflow,40,50,,Yes,0.97,LE-TZ,OU-TZ-CIB,400106,COA-22,CP-CIB-005,Performing,,0,,689,620,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-039,40010600006,TZS9976607039,Customer,HQ001,Liability,Fixed - Corporate,TZS,9563,2026-11-30,2026-11-30,Volatile,Fixed,14.34,,0,Outflow,40,50,,Yes,0.93,LE-TZ,OU-TZ-CIB,400106,COA-22,CP-CIB-006,Performing,,0,,574,516,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-040,40010400001,TZS6619581040,Customer,HQ001,Liability,Target,TZS,31451,2027-06-30,,Stable,Fixed,1.02,,0,Outflow,3,95,,Yes,0.67,LE-TZ,OU-TZ-RTL,400104,COA-22,,Performing,,0,,6919,6504,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-041,40010700001,TZS5707425041,Customer,HQ001,Liability,Domiciliary Deposits,TZS,43938,,,Less Stable,Fixed,2.0,,0,Outflow,25,50,,Yes,1.71,LE-TZ,OU-TZ-CIB,400107,COA-22,,Performing,,0,,37347,35106,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-042,40030100001,TZS9633908042,Customer,HQ001,Liability,Due To Banks,TZS,39321,2026-08-20,2026-08-20,Volatile,Floating,9.96,,0,Outflow,100,0,,Yes,1.38,LE-TZ,OU-TZ-TSY,400301,COA-21,CP-INTERBANK-01,Performing,,0,,11796,11088,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-043,40030200001,TZS9264228043,Customer,HQ001,Liability,Long Term Borrowings,TZS,24841,2031-12-31,,N/A,Fixed,0.67,,0,Outflow,0,100,,Yes,0.39,LE-TZ,OU-TZ-TSY,400302,COA-21,CP-DFI-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
TZ-044,40020200001,TZS6296656044,Internal,HQ001,Liability,Interest Payable,TZS,6613,,,N/A,N/A,,,0,Outflow,100,0,,No,,LE-TZ,OU-TZ-TSY,400202,COA-24,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued interest payable
TZ-045,40040100001,TZS6394550045,Internal,HQ001,Liability,Other Liabilities And Accruals,TZS,15958,,,N/A,N/A,,,0,Outflow,100,0,,No,,LE-TZ,OU-TZ-TSY,400401,COA-24,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Sundry creditors and accruals
TZ-046,40040200001,TZS8593313046,Suspense,HQ001,Liability,Managers Cheques Payable,TZS,3012,,,N/A,N/A,,,0,Outflow,100,0,,No,,LE-TZ,OU-TZ-RTL,400402,COA-24,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Suspense — excluded from customer deposits despite the product name
TZ-047,30010100001,TZS5835871047,Internal,HQ001,Capital,Share Capital,TZS,31489,,,N/A,N/A,,,0,,,100,,No,,LE-TZ,OU-TZ-TSY,300101,COA-31,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Paid-up share capital
TZ-048,30020100001,TZS9755224048,Internal,HQ001,Capital,Retained Earnings And Reserves,TZS,24189,,,N/A,N/A,,,0,,,100,,No,,LE-TZ,OU-TZ-TSY,300201,COA-32,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserves and retained earnings — closes the balance sheet
