id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
UG-001,20010200001,UGX2298155001,Internal,HQ001,Asset,Cash In Till,UGX,16603,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-UG,OU-UG-TSY,200102,COA-11,,Performing,,0,,66411,63090,FLEXCUBE-IF,SYSTEM,ACTIVE,
UG-002,20010300001,UGX7549818002,Internal,HQ001,Asset,Cash In Transit,UGX,7254,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-UG,OU-UG-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
UG-003,20010400001,UGX5627924003,Internal,HQ001,Asset,Cash In Atm,UGX,9854,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-UG,OU-UG-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
UG-004,20010100001,UGX3102424004,Internal,HQ001,Asset,Cash And Central Bank Balances,UGX,126643,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-UG,OU-UG-TSY,200101,COA-11,,Performing,,91183,Statutory cash reserve requirement held at BoU,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
UG-005,20030100001,UGX9728332005,Nostro,HQ001,Asset,Due From Banks - Nostro,UGX,69045,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-UG,OU-UG-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, USD equivalent"
UG-006,20040100001,UGX3551421006,Customer,HQ001,Asset,Placements With Banks,UGX,69768,2026-09-30,2026-09-30,N/A,Fixed,8.94,,0,Inflow,100,,15,Yes,0.17,LE-UG,OU-UG-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
UG-007,20050100001,UGX4727088007,Customer,HQ001,Asset,Treasury Bills,UGX,142104,2026-12-15,,N/A,Fixed,13.42,Level 1,0,HQLA,,,5,Yes,0.38,LE-UG,OU-UG-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
UG-008,20050200001,UGX6100567008,Customer,HQ001,Asset,Government Bonds,UGX,117667,2031-06-30,,N/A,Fixed,6.42,Level 1,0,HQLA,,,5,Yes,3.8,LE-UG,OU-UG-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,36668,Pledged as collateral for BoU standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
UG-009,20050300001,UGX2107257009,Customer,HQ001,Asset,Corporate Bonds,UGX,32750,2029-03-31,,N/A,Fixed,9.89,Level 2A,15,HQLA,,,15,Yes,2.36,LE-UG,OU-UG-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
UG-010,20080200001,UGX3691650010,Internal,HQ001,Asset,Fixed Income Investment Receivable,UGX,13408,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-UG,OU-UG-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
UG-011,20060100001,UGX2981010011,Customer,HQ001,Asset,Loans And Advances - Corporate,UGX,256211,2029-06-30,2026-10-01,N/A,Floating,16.4,,0,,,,85,Yes,2.95,LE-UG,OU-UG-CIB,200601,COA-14,CP-CIB-012,Performing,,0,,38432,34588,FLEXCUBE-IF,SYSTEM,ACTIVE,
UG-012,20060100002,UGX2184964012,Customer,HQ001,Asset,Loans And Advances - Corporate,UGX,17295,2029-06-30,2026-10-01,N/A,Floating,14.52,,0,,,,100,No,1.8,LE-UG,OU-UG-CIB,200601,COA-14,CP-CIB-059,Substandard,3163,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,112 days past due; non-accrual
UG-013,20060200001,UGX5559765013,Customer,HQ001,Asset,Overdrafts - Corporate,UGX,89099,2027-01-31,2026-08-31,N/A,Floating,9.36,,0,,,,85,Yes,4.19,LE-UG,OU-UG-CIB,200602,COA-14,CP-CIB-002,Performing,,0,,24502,22052,FLEXCUBE-IF,SYSTEM,ACTIVE,
UG-014,20060200002,UGX4997097014,Customer,HQ001,Asset,Overdrafts - Corporate,UGX,7866,2027-01-31,2026-08-31,N/A,Floating,11.0,,0,,,,100,No,2.87,LE-UG,OU-UG-CIB,200602,COA-14,CP-CIB-069,Doubtful,4736,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,234 days past due; non-accrual
UG-015,20060300001,UGX8748525015,Customer,HQ001,Asset,Loans And Advances - Sme,UGX,53943,2028-09-30,2026-10-01,N/A,Floating,12.46,,0,,,,85,Yes,1.59,LE-UG,OU-UG-CIB,200603,COA-14,CP-CIB-010,Performing,,0,,11328,10195,FLEXCUBE-IF,SYSTEM,ACTIVE,
UG-016,20060300002,UGX1012939016,Customer,HQ001,Asset,Loans And Advances - Sme,UGX,8521,2028-09-30,2026-10-01,N/A,Floating,17.79,,0,,,,100,No,1.03,LE-UG,OU-UG-CIB,200603,COA-14,CP-CIB-059,Doubtful,5598,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,292 days past due; non-accrual
UG-017,20060400001,UGX4823818017,Customer,HQ001,Asset,Mortgage Loans,UGX,65997,2038-12-31,,N/A,Fixed,25.82,,0,,,,85,Yes,2.6,LE-UG,OU-UG-RTL,200604,COA-14,CP-RTL-021,Performing,,0,,1980,1782,FLEXCUBE-IF,SYSTEM,ACTIVE,
