id,accountNumber,legacyAccountNumber,accountClass,branchCode,category,productClass,currency,amount,maturityDate,nextRepricingDate,behaviouralTag,rateType,interestRatePct,hqlaLevel,hqlaHaircutPct,lcrCashflowRole,lcrRatePct,asfFactorPct,rsfFactorPct,irrbbRateSensitive,approxDurationYears,legalEntityCode,orgUnitCode,glAccountCode,commonCoaCode,counterpartyId,performingStatus,provisionAmount,lienAmount,lienReason,monthlyCredit,monthlyDebit,maker,checker,recordStatus,notes
ZW-001,20010200001,USD7198405001,Internal,HQ001,Asset,Cash In Till,USD,6.1,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ZW,OU-ZW-TSY,200102,COA-11,,Performing,,0,,24.42,23.2,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZW-002,20010300001,USD4573234002,Internal,HQ001,Asset,Cash In Transit,USD,1.88,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ZW,OU-ZW-TSY,200103,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZW-003,20010400001,USD7918076003,Internal,HQ001,Asset,Cash In Atm,USD,3.29,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ZW,OU-ZW-RTL,200104,COA-11,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZW-004,20010100001,USD4277451004,Internal,HQ001,Asset,Cash And Central Bank Balances,USD,59.13,,,N/A,N/A,,Level 1,0,HQLA,,,0,No,,LE-ZW,OU-ZW-TSY,200101,COA-11,,Performing,,42.57,Statutory cash reserve requirement held at RBZ,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Reserve portion is unavailable to meet outflows
ZW-005,20030100001,USD4424962005,Nostro,HQ001,Asset,Due From Banks - Nostro,USD,27.55,2026-08-14,,N/A,N/A,,,0,Inflow,100,,0,No,,LE-ZW,OU-ZW-TSY,200301,COA-12,CP-CORRESPONDENT-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,"Correspondent balances, EUR equivalent"
ZW-006,20040100001,USD3542909006,Customer,HQ001,Asset,Placements With Banks,USD,32.4,2026-09-30,2026-09-30,N/A,Fixed,4.52,,0,Inflow,100,,15,Yes,0.17,LE-ZW,OU-ZW-TSY,200401,COA-12,CP-INTERBANK-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZW-007,20050100001,USD4350444007,Customer,HQ001,Asset,Treasury Bills,USD,52.32,2026-12-15,,N/A,Fixed,10.19,Level 1,0,HQLA,,,5,Yes,0.38,LE-ZW,OU-ZW-TSY,200501,COA-13,CP-SOVEREIGN,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZW-008,20050200001,USD8526960008,Customer,HQ001,Asset,Government Bonds,USD,38.68,2031-06-30,,N/A,Fixed,16.62,Level 1,0,HQLA,,,5,Yes,3.47,LE-ZW,OU-ZW-TSY,200502,COA-13,CP-SOVEREIGN,Performing,,9.34,Pledged as collateral for RBZ standing facility,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Partial lien — only the unpledged portion is eligible HQLA
ZW-009,20050300001,USD3529174009,Customer,HQ001,Asset,Corporate Bonds,USD,18.89,2029-03-31,,N/A,Fixed,16.95,Level 2A,15,HQLA,,,15,Yes,2.31,LE-ZW,OU-ZW-TSY,200503,COA-13,CP-CORP-ISSUER-01,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Level 2A carries a 15% haircut and counts toward the 40% cap
ZW-010,20080200001,USD3149290010,Internal,HQ001,Asset,Fixed Income Investment Receivable,USD,4.2,,,N/A,N/A,,,0,Inflow,100,,50,No,,LE-ZW,OU-ZW-TSY,200802,COA-13,,Performing,,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,Accrued investment income receivable
ZW-011,20060100001,USD8954143011,Customer,HQ001,Asset,Loans And Advances - Corporate,USD,129.0,2029-06-30,2026-10-01,N/A,Floating,17.48,,0,,,,85,Yes,2.67,LE-ZW,OU-ZW-CIB,200601,COA-14,CP-CIB-007,Performing,,0,,19.35,17.42,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZW-012,20060100002,USD3139861012,Customer,HQ001,Asset,Loans And Advances - Corporate,USD,9.8,2029-06-30,2026-10-01,N/A,Floating,24.04,,0,,,,100,No,2.94,LE-ZW,OU-ZW-CIB,200601,COA-14,CP-CIB-046,Doubtful,6.92,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,321 days past due; non-accrual
ZW-013,20060200001,USD7481863013,Customer,HQ001,Asset,Overdrafts - Corporate,USD,33.5,2027-01-31,2026-08-31,N/A,Floating,19.64,,0,,,,85,Yes,1.94,LE-ZW,OU-ZW-CIB,200602,COA-14,CP-CIB-037,Performing,,0,,9.21,8.29,FLEXCUBE-IF,SYSTEM,ACTIVE,
ZW-014,20060200002,USD4518215014,Customer,HQ001,Asset,Overdrafts - Corporate,USD,4.46,2027-01-31,2026-08-31,N/A,Floating,9.98,,0,,,,100,No,2.19,LE-ZW,OU-ZW-CIB,200602,COA-14,CP-CIB-069,Substandard,0.67,0,,0,0,FLEXCUBE-IF,SYSTEM,ACTIVE,139 days past due; non-accrual
